OTT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
720003;Foreign Minister;哈利姆 赛义德;33;PA;Great Compromiser;Very High;2902;x
720005;Minister of Security;哈斯利姆 纳齐姆 帕夏 ;33;PA;Back Stabber;Medium;M549005;x
720006;Head of Military Intelligence;卡迪尔 蒙塞夫 贝 ;33;PA;Logistics Specialist;Medium;M549006;x
720007;Chief of Staff;贾希特 韦达特 帕夏 ;33;PA;School of Fire Support;Medium;M549007;x
720009;Chief of Navy;侯赛因 劳夫 ;33;PA;Indirect Approach Doctrine;Medium;M549009;x
720012;Head of State;奥斯曼苏丹 艾哈迈德四世·尼哈德;33;ML;Autocratic Charmer;High;M549012;x
720013;Head of State;奥斯曼苏丹 奥斯曼四世·福阿德;33;SD;Die-hard Reformer;High;M549013;x
720014;Head of Government;侯赛因 阿夫尼 帕夏 ;33;SC;Old General;High;M549014;x
720015;Head of Government;雷菲克 泽米尔 贝 ;33;ML;Smiling Oilman;High;M549015;x
720016;Head of Government;艾哈迈德 齐里 贝 ;33;SD;Corporate Suit;High;M549016;x
720017;Foreign Minister;奥马尔 拉塔斯 帕夏 ;40;PA;General Staffer;High;M549017;x
720018;Foreign Minister;阿卜杜勒·迈吉德二世;41;PA;Apologetic Clerk;High;M549018;x
720019;Foreign Minister;穆罕默德 纳米德 卡迈勒 贝 ;33;SC;Biased Intellectual;High;M549019;x
720020;Foreign Minister;巴西尔 拉米 贝 ;33;ML;Iron Fisted Brute;High;M549020;x
720021;Foreign Minister;加法尔 瓦利 帕夏 ;33;SD;Great Compromiser;High;M549021;x
720022;Foreign Minister;阿里 维萨布 ;43;SD;Ideological Crusader;High;M549022;x
720023;Minister of Armament;阿里 埃明 帕夏 ;42;PA;Theoretical Scientist;Medium;M549023;x
720024;Minister of Armament;侯赛因 卡米勒 ;33;SC;Air to Ground Proponent;Medium;M549024;x
720025;Minister of Armament;埃尔坎 贾韦德 帕夏 ;39;SC;Administrative Genius;Medium;M549025;x
720026;Minister of Armament;优素福 哈米德 贝 ;33;ML;Military Entrepreneur;Medium;M549026;x
720027;Minister of Armament;易卜拉欣 希纳西 ;33;SD;Submarine Proponent;Medium;M549027;x
720028;Minister of Armament;乌迪 杰米尔 贝 ;41;SD;Infantry Proponent;Medium;M549028;x
720029;Minister of Security;拉马赞 多格拉马奇 ;41;PA;Efficient Sociopath;Medium;M549029;x
720030;Minister of Security;埃斯基巴斯坎 达梅特 贝 ;33;SC;Prince of Terror;Medium;M549030;x
720031;Minister of Security;于尔皮特 格利克 ;41;SC;Silent Lawyer;Medium;M549031;x
720032;Minister of Security;阿里夫 达贾尼 帕夏 ;33;ML;Crime Fighter;Medium;M549032;x
720033;Minister of Security;奥梅 谢夫基 贝 ;33;SD;Compassionate Gentleman;Medium;M549033;x
720034;Head of Military Intelligence;哈米德 沙哈普 贝 ;33;SC;Technical Specialist;Medium;M549034;x
720035;Head of Military Intelligence;奥克坦 哈利斯 ;33;ML;Naval Intelligence Specialist;Medium;M549035;x
720036;Head of Military Intelligence;穆罕默德 萨拉杰丁 帕夏 ;33;SD;Dismal Enigma;Medium;M549036;x
720037;Chief of Staff;伊诺努 伊斯梅特 帕夏 ;41;PA;School of Defence;Medium;M549037;x
720038;Chief of Staff;托帕尔 奥斯曼 ;33;SC;School of Psychology;Medium;M549038;x
720039;Chief of Staff;穆罕默德 基亚米尔 帕夏 ;33;ML;School of Mass Combat;Medium;M549039;x
720040;Chief of Staff;奥斯曼苏丹 奥斯曼四世·福阿德;33;SD;School of Manoeuvre;Medium;M549013;x
720041;Chief of Army;侯赛因 阿夫尼 帕夏 ;33;SC;Static Defence Doctrine;Medium;M549014;x
720042;Chief of Army;埃克梅勒丁 于尔屈 ;33;ML;Decisive Battle Doctrine;Medium;M549042;x
720043;Chief of Army;费夫西 蒂林 ;33;SD;Armoured Spearhead Doctrine;Medium;M549043;x
720044;Chief of Navy;阿卜杜勒 哈米德 齐亚 帕夏 ;33;SC;Decisive Naval Battle Doctrine;Medium;M549044;x
720045;Chief of Navy;奥斯曼苏丹 艾哈迈德四世·尼哈德;33;ML;Base Control Doctrine;Medium;M549012;x
720046;Chief of Navy;哈米德 佩里卡诺夫卢 ;33;SD;Power Projection Doctrine;Medium;M549046;x
720048;Chief of Air Force;德尼茨 乌切 ;33;ML;Army Aviation Doctrine;Medium;M549048;x
720049;Chief of Air Force;梅舒特 谢里夫 帕夏 ;33;SD;Carpet Bombing Doctrine;Medium;M549049;x
720068;Head of State;奥斯曼苏丹 阿卜杜勒·迈吉德二世;8;PA;Powerhungry Demagogue;High;M549018;x
720075;Foreign Minister;艾哈迈德 内西米 塞伊曼;8;SC;Iron Fisted Brute;Medium;unknownminister;x
720118;Minister of Armament;侯赛因 拉乌夫;8;SC;Submarine Proponent;Medium;3760;x
720122;Minister of Armament;穆罕默德 埃萨特 比尔卡特;8;SC;Submarine Proponent;Medium;3776;x
720131;Minister of Armament;阿卜杜勒拉赫曼 韦菲克;8;SC;Steel Magnate;Medium;2546;x
720134;Minister of Armament;穆罕默德 陶菲克 比伦;8;SC;Keynesian Economy;Medium;3778;x
720135;Minister of Armament;法伊克 尼兹海特;8;SC;Reformer;Medium;unknownminister;x
720156;Minister of Security;阿里 费特希 奥克亚尔 ;8;SC;Crime Fighter;Medium;2552;x
720163;Minister of Security;穆罕默德 谢里夫;18;SC;Secret Police Chief;Medium;Secret Police Chief;x
720174;Head of Military Intelligence;马哈茂德 杰拉勒;8;SC;Logistics Specialist;Medium;3766;x
720181;Chief of Staff;阿里 福阿德 杰贝索伊;8;SC;Commando Doctrine Staff;Medium;2553;x
