PAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
557001;Head of State;侯德 麦克迈克尔 爵士 ;36;ML;Autocratic Charmer;High;M550005;x
557002;Head of Government;约翰 R. 迁瑟尓 爵士 ;36;ML;Flamboyant Tough Guy;High;M557002;x
557003;Foreign Minister;纳兹夫 埃尓-卡历戴 ;36;ML;Ideological Crusader;High;M557003;x
557004;Minister of Armament;乔治 汉斯 ;36;ML;Military Entrepreneur;Medium;M557004;x
557005;Minister of Security;马苏 普森 埃尓-胡斯尼 ;36;ML;Prince of Terror;Medium;M557005;x
557006;Head of Military Intelligence;弗雷德里克 G.帕克 ;36;ML;Political Specialist;Medium;M91008;x
557007;Chief of Staff;赫伯特 塞缪尓 爵士 ;36;ML;School of Mass Combat;Medium;M557007;x
557008;Chief of Army;G.H.C. 斯滨斯 ;36;ML;Elastic Defence Doctrine;Medium;L320014;x
557009;Chief of Navy;F.B. 图尓斯 ;36;ML;Indirect Approach Doctrine;Medium;L1396;x
557010;Chief of Air Force;J.T. 福哈德 ;36;ML;Vertical Envelopment Doctrine;Medium;L1441;x
557011;Head of State;麦加 阿明 阿尔 胡斯尼 ;36;NS;Pig-headed ISOLATIONIST;High;M557011;x
557012;Head of State;赫伯特 塞缪尓 爵士 ;36;PA;Stern Imperialist;High;M557007;x
557013;Head of State;费德 埃尓-阿拉姆 ;36;SD;Benevolent Gentleman;High;M557013;x
557014;Head of State;桊来 埃尓-卡历戴 ;36;LWR;Barking Buffoon;High;M557014;x
557015;Head of Government;耶斯夫 帕夏 埃尓-卡历戴 ;36;NS;Political Protege;High;M557015;x
557016;Head of Government;赫伯特 扑茹 爵士 ;36;PA;Old General;High;M557016;x
557017;Head of Government;阿哈 薛克瑞 ;36;SD;Happy Amateur;High;M557017;x
557018;Head of Government;麦加 穆斯塔法 阿布斯 ;36;LWR;Ambitious Union Boss;High;M557018;x
557019;Foreign Minister;拉希德 那什阿比 ;36;NS;Iron Fisted Brute;High;M557019;x
557020;Foreign Minister;格林菲尔 瓦奇仆 爵士 ;36;PA;General Staffer;High;M557020;x
557021;Foreign Minister;哈里 C. 卢克 ;36;SD;Great Compromiser;High;M557021;x
557022;Foreign Minister;哈菲兹 帕夏 爱多 哈迪 ;36;LWR;Apologetic Clerk;High;M557022;x
557023;Minister of Armament;阿尔佛雷德 洛克 ;36;NS;Air to Ground Proponent;Medium;M557023;x
557024;Minister of Armament;爱多拉 加法 达拉尓 ;36;PA;Air Superiority Proponent;Medium;M557024;x
557025;Minister of Armament;桊来 爱多 哈迪 ;36;SD;laissez-faire capitalist;Medium;M557025;x
557026;Minister of Armament;沙里夫 纳局昕 埃尓-卡里 ;36;LWR;Infantry Proponent;Medium;M557026;x
557027;Minister of Security;那米 爱多 哈迪 ;36;NS;Crooked Kleptocrat;Medium;M557027;x
557028;Minister of Security;乔治 安提尼奥斯 ;36;PA;Compassionate Gentleman;Medium;M557028;x
557029;Minister of Security;尼科拉斯 阿布多 ;36;SD;Silent Lawyer;Medium;M557029;x
557030;Minister of Security;达克尓 苏克尓 ;36;LWR;Back Stabber;Medium;M557030;x
557031;Head of Military Intelligence;Dr. 阿布 梭'欧德 ;36;NS;Technical Specialist;Medium;M557031;x
557032;Head of Military Intelligence;马苏德 埃尓-简娜 ;36;PA;Industrial Specialist;Medium;M557032;x
557033;Head of Military Intelligence;法克 哈达 ;36;SD;Logistics Specialist;Medium;M557033;x
557034;Head of Military Intelligence;马吉德 阿布德-哈奇 ;36;LWR;Dismal Enigma;Medium;M557034;x
557035;Chief of Staff;阿里 居莫 帕夏 ;36;NS;School of Fire Support;Medium;M557035;x
557036;Chief of Staff;赫伯特 扑茹 爵士 ;36;PA;School of Defence;Medium;M557016;x
557037;Chief of Staff;阿兰 G. 坎宁安 ;41;ML;School of Manoeuvre;Medium;M557037;x
557038;Chief of Staff;法克 哈达 ;36;SD;School of Psychology;Medium;M557033;x
557039;Chief of Staff;加拉 帕夏 ;36;LWR;School of Defence;Medium;M557039;x
557040;Chief of Army;阿兰 埃尓-默塔里 ;36;NS;Guns and Butter Doctrine;Medium;M557040;x
557041;Chief of Army;格林菲尔 瓦奇仆 爵士 ;36;PA;Static Defence Doctrine;Medium;M557020;x
557042;Chief of Army;罗德 约翰 戈特 ;42;ML;Armoured Spearhead Doctrine;Medium;L1138;x
557043;Chief of Army;里瓦 埃尓-曼瓦伊 ;36;SD;Elastic Defence Doctrine;Medium;M557043;x
557044;Chief of Army;沙里夫 纳局昕 埃尓-卡里 ;36;LWR;Guns and Butter Doctrine;Medium;M557026;x
557045;Chief of Navy;阿里 迪加米尓 帕夏 ;36;NS;Base Control Doctrine;Medium;M557035;x
557046;Chief of Navy;罗德尼 太同-塞兹 ;36;PA;Decisive Naval Battle Doctrine;Medium;L300023;x
557047;Chief of Navy;阿尔佛雷德 霍华德 ;36;SD;Open Seas Doctrine;Medium;M557047;x
557048;Chief of Navy;啊哈 瓦斯 帕夏 ;36;LWR;Power Projection Doctrine;Medium;M557048;x
557049;Chief of Air Force;穆罕默德 阿孜米 帕夏 ;36;NS;Army Aviation Doctrine;Medium;M512096;x
557050;Chief of Air Force;爱多拉加法 达拉尓 ;36;PA;Air Superiority Doctrine;Medium;M557024;x
557051;Chief of Air Force;简牍 罗杰斯 ;36;SD;Carpet Bombing Doctrine;Medium;M557051;x
557052;Chief of Air Force;满哈德 埃尓-太夫 ;36;LWR;Naval Aviation Doctrine;Medium;M557052;x
