PAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
95001;Head of State;哈默迪 阿拉斯 德 拉 马德里 ;36;ML;Autocratic Charmer;High;M95001;x
95002;Head of Government;哈默迪 阿拉斯 德 拉 马德里 ;36;ML;Corporate Suit;High;M95001;x
95003;Foreign Minister;那克索 嘎拉 蒂兹 ;36;SL;Ideological Crusader;Medium;M95003;x
95004;Minister of Armament;丹尼尔 C. 品赞 ;36;ML;laissez-faire capitalist;Medium;M95004;x
95005;Minister of Security;英那西奥 E. 猛多扎 ;36;SL;Back Stabber;Medium;M95005;x
95006;Head of Military Intelligence;衣开奥 奉南德 延 ;36;ML;Dismal Enigma;Medium;M95006;x
95007;Chief of Staff;胡安 若蒙 ;36;SL;School of Psychology;Medium;M95007;x
95008;Chief of Army;玻利瓦尔 维拉诺 ;36;ML;Guns and Butter Doctrine;Medium;M95008;x
95009;Chief of Navy;胡安 A. 痕诺兹 ;36;SL;Decisive Naval Battle Doctrine;Medium;M95009;x
95010;Chief of Air Force;胡安 若蒙 ;36;ML;Naval Aviation Doctrine;Medium;M95007;x
95031;Head of State;胡安 德摩斯梯尼 奥若兹米那 ;36;SC;Resigned Generalissimo;High;M95031;x
95032;Head of State;胡安 德摩斯梯尼 奥若兹米那 ;40;ML;Popular Figurehead;High;M95032;x
95033;Head of State;瑞卡多 德 拉 嘎迪亚 ;41;PA;Powerhungry Demagogue;High;M95013;x
95034;Head of State;胡安 德摩斯梯尼 奥若兹米那 ;45;SL;Autocratic Charmer;High;M95034;x
95035;Head of State;安瑞克 希门尼斯 卜林 ;46;PA;Stern Imperialist;High;M95035;x
95036;Head of Government;卡洛斯 扎瓦拉 ;36;SC;Old Admiral;High;M95036;x
95037;Head of Government;安诺夫 阿拉斯 德 拉 马德里 ;40;ML;Corporate Suit;High;M95032;x
95038;Head of Government;奥格斯特 塞缪尓 博伊德 ;41;PA;Ambitious Union Boss;High;M95038;x
95039;Head of Government;曼纽尓 D. 瑞纳多斯 ;45;SL;Silent Workhorse;High;M95039;x
95040;Head of Government;杰思阿戈斯特 阿拉贡 ;46;PA;Political Protege;High;M95011;x
95041;Foreign Minister;来罗 德 卢克斯 瓦 戈拉恩 ;36;ML;Biased Intellectual;Medium;M95041;x
95042;Foreign Minister;杰思雷维德 拉 奥萨 ;36;SC;Great Compromiser;Medium;M95042;x
95043;Foreign Minister;那克索 嘎拉 蒂兹 ;38;PA;Apologetic Clerk;Medium;M95003;x
95044;Foreign Minister;胡安 德摩斯梯尼 奥若兹米那 ;38;SC;The Cloak N Dagger Schemer;Medium;M95031;x
95045;Foreign Minister;奥格斯特 塞缪尓 博伊德 ;40;ML;Iron Fisted Brute;Medium;M95038;x
95046;Foreign Minister;瑞卡多 德 拉 嘎迪亚 ;41;PA;Biased Intellectual;High;M95013;x
95047;Foreign Minister;奥克特维欧 法瑞戈 雷兹 ;42;SC;Iron Fisted Brute;High;M95047;x
95048;Foreign Minister;塞缪尓 路易斯 阿兰恩 ;45;PA;Great Compromiser;High;M95048;x
95049;Foreign Minister;罗伯特 吉猛兹 德 卢克斯 ;45;ML;Great Compromiser;High;M95049;x
