POR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9001;Head of State;安东尼奥 的 佛拉格撒 卡摩纳 ;36;PA;Stern Imperialist;High;M9001;x
9002;Head of Government;A. 奥利维拉 萨拉萨尔 ;36;PA;Backroom Backstabber;High;M9002;x
9003;Foreign Minister;A. 奥利维拉 萨拉萨尔;36;PA;Ideological Crusader;Very High;M9002;x
9004;Minister of Armament;劳尔 布兰多 ;36;PA;Resource Industrialist;Medium;M9004;x
9005;Minister of Security;马里奥 帕斯 索萨 ;36;PA;Crooked Kleptocrat;High;M9005;x
9006;Head of Military Intelligence;佩德罗 特奥杜洛 佩雷拉 ;36;PA;Dismal Enigma;High;M9006;x
9007;Chief of Staff;塔索 米兰达 卡布雷尔 ;36;PA;School of Fire Support;Very High;M9007;x
9008;Chief of Army;J.A. 罗巴托 格雷拉 ;36;PA;Guns and Butter Doctrine;High;M9008;x
9009;Chief of Navy;海梅 埃佛雷克奥 ;36;PA;Base Control Doctrine;Very High;M9009;x
9010;Chief of Air Force;曼努埃尔 戈维亚 ;36;PA;Vertical Envelopment Doctrine;High;M9010;x
9041;Foreign Minister;阿方索 科斯塔 ;37;SC;The Cloak N Dagger Schemer;Medium;M9041;x
9042;Foreign Minister;路易斯 阿尔梅达 布拉加 ;38;SC;Iron Fisted Brute;Low;M9042;x
9043;Foreign Minister;D.费扎斯 维塔尔 ;41;SC;General Staffer;Medium;M9022;x
9044;Foreign Minister;雷 乌尔里希 ;42;SL;Great Compromiser;Medium;M9023;x
9045;Foreign Minister;沙维尔 科德伊罗 ;43;PA;Biased Intellectual;Medium;M9045;x
9046;Foreign Minister;弗朗西斯科 昆哈 雷尔 ;45;SL;The Cloak N Dagger Schemer;Low;M9013;x
9047;Foreign Minister;阿尔弗雷德 皮门塔 ;45;PA;Ideological Crusader;High;M9026;x
9048;Foreign Minister;何塞 卡列罗 达 马塔 ;47;PA;Great Compromiser;High;M9048;x
9049;Minister of Armament;何塞 H. 瓦斯 拉波索 ;36;SC;Infantry Proponent;Medium;M9049;x
