PRI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
527001;Head of State;康拉丁 阿斯莫夫 ;36;LE;Barking Buffoon;High;M527001;x
527002;Head of Government;阿列克谢 西普诺夫 ;36;LE;Happy Amateur;High;M527002;x
527003;Foreign Minister;泽拉塔夫 巴兰斯基 ;36;LE;Apologetic Clerk;High;M527003;x
527004;Minister of Armament;皮奥托 席帕塔尼 ;36;LE;Resource Industrialist;Medium;M527004;x
527005;Minister of Security;谢尔盖 特列恰科夫 ;36;LE;Prince of Terror;Medium;M527005;x
527006;Head of Military Intelligence;伊万 谢莱斯特 ;36;LE;Logistics Specialist;Medium;M527006;x
527007;Chief of Staff;安东 希波夫 ;36;LE;School of Fire Support;Medium;M527007;x
527008;Chief of Army;特例菲尔 希曼斯基 ;36;LE;Elastic Defence Doctrine;Medium;M527008;x
527009;Chief of Navy;维塔尔莫 潘诺夫 ;36;LE;Open Seas Doctrine;Medium;M527009;x
527010;Chief of Air Force;尼古拉 夏特 ;36;LE;Vertical Envelopment Doctrine;Medium;M527010;x
527011;Head of State;尼古莱 斯米尔诺夫 ;36;ML;Ruthless Powermonger;High;M527011;x
527012;Head of State;米尔莎 范切尔科夫 ;36;PA;Insignificant Layman;High;M527012;x
527013;Head of Government;米埃尔 阿克谢莫夫 ;36;ML;Flamboyant Tough Guy;High;M527013;x
527014;Head of Government;杰纳迪 西亚诺夫 ;36;PA;Old Admiral;High;M527014;x
527015;Foreign Minister;麦哈茂德 盖达尔 ;36;LE;Ideological Crusader;High;M527015;x
527016;Foreign Minister;约格尔 K. 查辛 ;36;ML;Biased Intellectual;High;M527016;x
527017;Foreign Minister;阿列克谢 锡洛兰克 ;36;ML;Great Compromiser;High;M527017;x
527018;Foreign Minister;皮奥托 楚金 ;36;PA;Great Compromiser;High;M527018;x
527019;Foreign Minister;马戈梅德 戈塞诺维奇 ;36;PA;Iron Fisted Brute;High;M527019;x
527020;Minister of Armament;夏祖丁 克汗布列耶夫 ;36;LE;Military Entrepreneur;Medium;M527020;x
527021;Minister of Armament;查因 洽巴切夫 ;36;ML;Administrative Genius;Medium;M527021;x
527022;Minister of Armament;杰纳迪 塞勒泽内夫 ;36;ML;Air to Ground Proponent;Medium;M527022;x
527023;Minister of Armament;弗拉基米尔 波沙尼因 ;36;PA;Tank Proponent;Medium;M527023;x
527024;Minister of Armament;罗曼 巴西列夫斯基 ;36;PA;Air to Ground Proponent;Medium;M527024;x
527025;Minister of Security;杰纳迪 布卡耶夫 ;36;LE;Man of the People;Medium;M527025;x
527026;Minister of Security;维克托 克西斯坦科 ;36;ML;Compassionate Gentleman;Medium;M527026;x
527027;Minister of Security;弗拉基米尔 科沃科夫 ;36;ML;Back Stabber;Medium;M527027;x
527028;Minister of Security;法瑟 乔治 甘波 ;36;PA;Silent Lawyer;Medium;M527028;x
527029;Minister of Security;亚历山德罗 达维登科 ;36;PA;Compassionate Gentleman;Medium;M527029;x
527030;Head of Military Intelligence;约勒纳 舍万诺瓦 ;36;LE;Industrial Specialist;Medium;M527030;x
527031;Head of Military Intelligence;维克托 A. 夏因 ;36;ML;Industrial Specialist;Medium;M527031;x
527032;Head of Military Intelligence;约格尔 科普特夫 ;36;ML;Technical Specialist;Medium;M527032;x
527033;Head of Military Intelligence;维克托 卡列宁 ;36;PA;Dismal Enigma;Medium;M527033;x
527034;Head of Military Intelligence;威尔弗雷德 弗兰 ;36;PA;Logistics Specialist;Medium;M527034;x
527035;Chief of Staff;沃尔达 夏利莫夫 ;36;LE;School of Mass Combat;Medium;M527035;x
527036;Chief of Staff;Vassilij A. 谢尔耶夫 ;36;ML;School of Defence;Medium;M527036;x
527037;Chief of Staff;伊万 维索特斯基 ;36;PA;School of Psychology;Medium;M527037;x
527038;Chief of Army;伊万 特列加克 ;36;LE;Static Defence Doctrine;Medium;M527038;x
527039;Chief of Army;帕维尔 谢因 ;36;ML;Static Defence Doctrine;Medium;M527039;x
527040;Chief of Army;帕维尔 潘诺夫 ;36;PA;Decisive Battle Doctrine;Medium;M527040;x
527041;Chief of Navy;特列金 库林克 ;36;LE;Indirect Approach Doctrine;Medium;M527041;x
527042;Chief of Navy;伊格尔 科佩鲁斯 ;36;ML;Power Projection Doctrine;Medium;M527042;x
527043;Chief of Navy;谢尔盖 布特契柯夫 ;36;PA;Decisive Naval Battle Doctrine;Medium;M527043;x
527044;Chief of Air Force;维克托 夏沃诺夫 ;36;LE;Army Aviation Doctrine;Medium;M527044;x
527045;Chief of Air Force;米哈尔 谢沃金 ;36;ML;Naval Aviation Doctrine;Medium;M527045;x
527046;Chief of Air Force;格尔金 楚宾 ;36;PA;Air Superiority Doctrine;Medium;M527046;x
