PRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
39001;Head of State;奥斯卡 本纳维兹 拉尔 ;36;PA;Resigned Generalissimo;High;M39001;x
39002;Head of Government;曼奴埃尔 埃斯特班 罗德里格斯 ;36;PA;Old General;High;M39002;x
39003;Foreign Minister;阿尔伯托 乌罗阿 索托马约尔 ;36;PA;Iron Fisted Brute;Medium;M39003;x
39004;Minister of Armament;恩内斯托 斯科罗斯 ;36;PA;Battle Fleet Proponent;Medium;M39004;x
39005;Minister of Security;路易斯 桑切斯 塞罗 ;36;PA;Back Stabber;Medium;M39005;x
39006;Head of Military Intelligence;奥斯卡 吉拉迪 ;36;PA;Technical Specialist;Very Low;M39006;x
39007;Chief of Staff;古斯塔沃 西蒙尼斯 ;36;PA;School of Psychology;Medium;M39007;x
39008;Chief of Army;奥斯卡 本纳维兹 拉尔 ;36;PA;Static Defence Doctrine;Medium;M39001;x
39009;Chief of Navy;恩内斯托 斯科罗斯 ;36;PA;Open Seas Doctrine;Medium;M39004;x
39010;Chief of Air Force;保罗 德 布尔迪兹 ;36;PA;Army Aviation Doctrine;Medium;M39010;x
39031;Head of State;奥斯卡 本纳维兹 拉尔 ;36;SC;Resigned Generalissimo;High;M39001;x
39032;Head of State;曼奴埃尔 普拉多 y 乌加特切 ;39;SC;Autocratic Charmer;High;M39032;x
39033;Head of State;何塞 布斯塔曼特 y 里韦罗 ;45;ML;Benevolent Gentleman;High;M39033;x
39034;Head of State;奥古斯托 莱古亚 斯韦恩 ;36;LWR;Powerhungry Demagogue;High;M39034;x
39035;Head of State;雷恩纳多 贝纳迪 ;39;SD;Barking Buffoon;High;M39035;x
39036;Head of State;伊洛 G. 乌雷塔 ;45;SD;Resigned Generalissimo;High;M39036;x
39037;Head of Government;恩内斯托 蒙塔戈内 桑切斯 ;36;SC;Smiling Oilman;High;M39037;x
39038;Head of Government;奥古斯托 莱古亚 斯韦恩 ;36;LWR;Happy Amateur;High;M39034;x
39039;Head of Government;阿道夫 索尔夫 y 默罗 ;39;SC;Naive Optimist;High;M39039;x
39040;Head of Government;奥斯卡 米尔洛 克萨达 ;39;SD;Silent Workhorse;High;M39040;x
39041;Head of Government;曼奴埃尔 希斯内罗丝 桑切斯 ;44;ML;Political Protege;High;M39041;x
39042;Head of Government;胡里奥 特烈罗 伊斯特 ;45;SL;Smiling Oilman;High;M39042;x
