QUE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
582001;Head of State;H.R.H. 路易斯 拿破仑 ;36;PA;Autocratic Charmer;High;M582001;x
582002;Head of Government;阿德拉德 戈德布特 ;36;PA;Naive Optimist;High;M582002;x
582003;Foreign Minister;大卫 罗克斯 ;36;PA;The Cloak N Dagger Schemer;High;M582003;x
582004;Minister of Armament;罗马 巴里埃 ;36;PA;Battle Fleet Proponent;Medium;M582004;x
582005;Minister of Security;雅克 摩里亚 ;36;PA;Man of the People;Medium;M582005;x
582006;Head of Military Intelligence;皮埃尔 拉 里波特 ;36;PA;Industrial Specialist;Medium;M582006;x
582007;Chief of Staff;皮埃尔 布戴 ;36;PA;School of Psychology;Medium;L52008;x
582008;Chief of Army;皮埃尔 勒科勒科 ;36;PA;Guns and Butter Doctrine;Medium;L52035;x
582009;Chief of Navy;安托万 鲍威尔 ;36;PA;Open Seas Doctrine;Medium;M582009;x
582010;Chief of Air Force;吉恩 加布雷尔 弗尔兹 ;36;PA;Naval Aviation Doctrine;Medium;L52103;x
