RHO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
553001;Head of State;赫伯特 J. 斯坦利爵士 ;36;ML;Insignificant Layman;High;M553001;x
553002;Head of Government;高特弗雷 马丁 哈金斯 ;36;ML;Corporate Suit;High;M553002;x
553003;Foreign Minister;爵士 伊夫林 巴金 ;36;ML;Iron Fisted Brute;High;M553003;x
553004;Minister of Armament;爵士 罗伯特 J. 赫德森 ;36;ML;Administrative Genius;Medium;M553004;x
553005;Minister of Security;安东尼 西弗里 ;36;ML;Crime Fighter;Medium;M553005;x
553006;Head of Military Intelligence;爵士 菲利浦 W. 理查森 ;36;ML;Industrial Specialist;Medium;M553006;x
553007;Chief of Staff;埃里克 德 布尔 ;36;ML;School of Fire Support;Medium;L1094;x
553008;Chief of Army;菲利浦 卡林顿 ;36;ML;Static Defence Doctrine;Medium;M553008;x
553009;Chief of Navy;塞西尔 德拉蒙德 ;36;ML;Power Projection Doctrine;Medium;M553009;x
553010;Chief of Air Force;爵士 查尔斯 阿登-克拉克;36;ML;Naval Aviation Doctrine;Medium;M551008;x
553011;Head of State;H.H. 耶塔国王三世 ;36;PA;Barking Buffoon;High;M553011;x
553012;Head of State;爵士 休波特 温斯罗普-扬 ;36;SL;Stern Imperialist;High;M553012;x
553013;Head of State;肯尼斯 翁达 ;36;SD;Powerhungry Demagogue;High;M553013;x
553014;Head of Government;唐纳德 麦肯奇-肯尼迪 ;36;PA;old airmarshal;High;M553014;x
553015;Head of Government;爵士 查尔斯 阿登-克拉克 ;36;SL;Old General;High;M551012;x
553016;Head of Government;黑斯廷斯 卡莫祖 邦达 ;36;SD;Ambitious Union Boss;High;M553016;x
553017;Foreign Minister;卡格斯 卡哈马 三世 ;36;PA;Biased Intellectual;High;M553017;x
553018;Foreign Minister;爵士 哈罗德 B. 基特马斯特 ;36;SL;Ideological Crusader;High;M553018;x
553019;Foreign Minister;爵士 塞雷特赛 卡哈马;36;SD;Apologetic Clerk;High;M553019;x
553020;Minister of Armament;爵士 罗伊 韦伦斯基;36;PA;Air to Ground Proponent;Medium;M553020;x
553021;Minister of Armament;穆勒纳 约莫胡鲁 ;36;SL;Corrupt Kleptocrat;Medium;M553021;x
553022;Minister of Armament;佩德 奥莱利 ;42;SL;Tank Proponent;Medium;M553022;x
553023;Minister of Armament;约布鲁 詹姆斯 瓦丁顿 ;36;SD;Theoretical Scientist;Medium;M553023;x
553024;Minister of Security;恩德比 卡哈马特斯 ;36;PA;Prince of Terror;Medium;M553024;x
553025;Minister of Security;麦克斯维尔 麦克达尔米德;41;PA;Man of the People;Medium;M553025;x
553026;Minister of Security;罗伯特 史密斯-克拉姆 ;36;SL;Crooked Kleptocrat;Medium;M553026;x
553027;Minister of Security;维奥莱特 格里格 ;42;SL;Silent Lawyer;Medium;M553027;x
553028;Minister of Security;亨利 纳库布拉 ;36;SD;Back Stabber;Medium;M553028;x
553029;Minister of Security;慕兹 赫隆瓦 ;43;SD;Compassionate Gentleman;Medium;M553029;x
553030;Head of Military Intelligence;彼得 尤恩斯 ;36;PA;Naval Intelligence Specialist;Medium;M553030;x
553031;Head of Military Intelligence;约翰 亚历山大 梅宾 ;41;PA;Political Specialist;Medium;M553031;x
553032;Head of Military Intelligence;邓肯 麦克阿利斯特 ;36;SL;Dismal Enigma;Medium;M553032;x
553033;Head of Military Intelligence;约翰 莫旺纳卡特维 ;36;SD;Technical Specialist;Medium;M553033;x
553034;Head of Military Intelligence;舍克迪 卡哈马 ;43;SD;Logistics Specialist;Medium;M553034;x
553035;Chief of Staff;G.W.D. 尼科尔森 ;36;PA;School of Mass Combat;Medium;M553035;x
553036;Chief of Staff;托马斯 赖斯 ;41;ML;School of Manoeuvre;Medium;L1260;x
553037;Chief of Staff;穆勒纳 约莫胡鲁 ;36;SL;School of Defence;Medium;M553021;x
553038;Chief of Staff;C.M. 格里格 ;36;SD;School of Psychology;Medium;M553038;x
553039;Chief of Army;费迪南德 查尔斯 斯坦利 ;36;PA;Guns and Butter Doctrine;Medium;M553039;x
553040;Chief of Army;丹尼斯 C. 卡佩尔-杜恩 ;41;ML;Armoured Spearhead Doctrine;Medium;M553040;x
553041;Chief of Army;莫布姆 瓦 卢顿加 ;36;SL;Elastic Defence Doctrine;Medium;M553041;x
553042;Chief of Army;约莫胡鲁 莫布姆 ;36;SD;Decisive Battle Doctrine;Medium;M553042;x
553043;Chief of Navy;H.H. 耶塔国王三世 ;36;PA;Base Control Doctrine;Medium;M553011;x
553044;Chief of Navy;汤米 寇德 ;41;ML;Indirect Approach Doctrine;Medium;M74009;x
553045;Chief of Navy;乔治 斯昆斯 ;36;SL;Open Seas Doctrine;Medium;M553045;x
553046;Chief of Navy;莫布姆 瓦 卢顿加 ;36;SD;Decisive Naval Battle Doctrine;Medium;M553041;x
553047;Chief of Air Force;唐纳德 麦肯奇-肯尼迪 ;36;PA;Army Aviation Doctrine;Medium;M553014;x
553048;Chief of Air Force;赫伯特 克劳切 ;36;SL;Carpet Bombing Doctrine;Medium;M553048;x
553049;Chief of Air Force;约翰 莫旺纳卡特维 ;36;SD;Vertical Envelopment Doctrine;Medium;M553033;x
