ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
22001;Head of State;卡罗尔二世 ;36;SC;Benevolent Gentleman;High;M22001;x
22002;Head of Government;格奥尔基 特特雷斯库 ;36;SC;Silent Workhorse;High;M22002;x
22003;Foreign Minister;尼古拉 底图内斯库 ;36;SC;Great Compromiser;Medium;M22003;x
22004;Minister of Armament;康斯坦丁 布勒蒂亚努 ;36;SC;Resource Industrialist;High;M22004;x
22005;Minister of Security;伊斯特拉特 米赛斯库 ;36;SC;Silent Lawyer;Medium;M22005;x
22006;Head of Military Intelligence;米哈尔 莫鲁佐夫 ;36;SC;Logistics Specialist;Very High;M22006;x
22007;Chief of Staff;维克托 安东内斯库 ;36;SC;School of Psychology;High;M22007;x
22008;Chief of Army;马丁 齐奥苏 ;36;SC;Static Defence Doctrine;Low;M22008;x
22009;Chief of Navy;尼古拉 卡兰菲尔 ;36;SC;Decisive Naval Battle Doctrine;Low;M22009;x
22010;Chief of Air Force;但丁 维赞特 ;36;SC;Air Superiority Doctrine;Medium;M22010;x
22031;Head of State;卡罗尔二世 ;36;SL;Benevolent Gentleman;High;M22001;x
22032;Head of State;卡罗尔二世 ;36;PA;Benevolent Gentleman;High;M22001;x
22034;Head of State;米哈伊一世 ;39;SC;Insignificant Layman;High;M22011;x
22035;Head of State;米哈伊一世 ;39;FA;Insignificant Layman;High;M22011;x
22037;Head of State;米哈伊一世 ;39;ST;Insignificant Layman;High;M22011;x
22038;Head of State;康斯坦丁 I. 帕赫纳 ;36;ST;Powerhungry Demagogue;High;M22038;x
22039;Head of State;卡罗尔二世 ;36;NS;Benevolent Gentleman;High;M22001;x
22040;Head of State;米哈伊一世 ;39;NS;Insignificant Layman;High;M22011;x
22041;Head of Government;屋大维 戈加 ;38;SL;Happy Amateur;High;M22041;x
22042;Head of State;米尔伦 克里斯蒂 ;38;PA;Weary Stiffneck;High;M22042;x
22043;Head of Government;阿曼德 卡里纳斯库 ;39;SL;Smiling Oilman;High;M22043;x
22044;Head of Government;格奥尔基 阿格斯诺 ;39;SL;Silent Workhorse;High;M22044;x
22045;Head of Government;康斯坦丁 阿格托亚诺 ;39;SL;Political Protege;High;M22045;x
22047;Head of Government;扬 吉古尔图 ;40;SL;Corporate Suit;High;M22047;x
22048;Head of Government;维克托 安东内斯库 ;40;FA;Old General;High;M22012;x
22049;Head of Government;康斯坦丁 萨那特斯库 ;44;PA;Old General;High;M22049;x
22050;Head of Government;尼古拉 拉德斯库 ;44;SC;Happy Amateur;High;M22050;x
22051;Head of Government;佩特鲁 格罗萨 ;45;ST;Backroom Backstabber;High;M22022;x
22052;Head of Government;格奥尔基 乔治乌-德治 ;52;ST;Political Protege;High;M22052;x
22053;Head of Government;科尔内留 科德雷亚努 ;36;NS;Flamboyant Tough Guy;High;M22053;x
22054;Head of Government;赫利亚 西蒙 ;38;NS;Happy Amateur;High;M22054;x
22055;Head of Government;利乌留 马尼留 ;38;SD;Naive Optimist;High;M22055;x
22056;Head of Government;康斯坦丁 布勒蒂亚努 ;45;SC;Corporate Suit;High;M22004;x
22057;Foreign Minister;维克托 安东内斯库 ;36;SC;General Staffer;Medium;M22007;x
22058;Foreign Minister;伊斯特拉特 米赛斯库 ;38;SL;Great Compromiser;Medium;M22005;x
22059;Foreign Minister;格奥尔基 特特雷斯库 ;38;PA;Iron Fisted Brute;Medium;M22002;x
22070;Foreign Minister;尼古拉 佩特罗斯库-康纳 ;38;PA;Apologetic Clerk;Medium;M22070;x
22071;Foreign Minister;格利高里 加芬库 ;39;SL;Biased Intellectual;Low;M22071;x
22072;Foreign Minister;埃恩 吉古尔图;40;SC;Ideological Crusader;Medium;M22047;x
22073;Foreign Minister;康斯坦丁 阿格托亚诺;39;SC;General Staffer;Medium;M22045;x
22074;Foreign Minister;米哈尔 马诺莱斯库;40;SL;Apologetic Clerk;Medium;M22074;x
22075;Foreign Minister;米哈尔 斯图尔札;40;FA;Ideological Crusader;Medium;M22013;x
22076;Foreign Minister;维克托 安东内斯库 ;40;FA;General Staffer;Medium;M22007;x
22077;Foreign Minister;米哈伊 安东内斯库 ;40;FA;The Cloak N Dagger Schemer;Low;M22077;x
22078;Foreign Minister;格利高里 尼古勒思科-布泽斯蒂 ;44;PA;Apologetic Clerk;Medium;M22078;x
22079;Foreign Minister;康斯坦丁 维索亚努 ;44;SC;The Cloak N Dagger Schemer;Medium;M22079;x
22080;Foreign Minister;格奥尔基 特特雷斯库 ;45;LE;Iron Fisted Brute;Medium;M22002;x
22081;Foreign Minister;安 鲍克尔 ;47;ST;Ideological Crusader;Very High;M22023;x
