RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
4153;Head of State;H.R.H.基里尔一世·罗曼诺夫 沙皇陛下;36;PA;Weary Stiffneck;High;M4080;x
4154;Head of Government;格雷格里 齐伦科夫 ;36;FA;Silent Workhorse;High;M4081;x
4155;Foreign Minister;尼克莱 伯克洛夫斯基 ;36;FA;General Staffer;Low;M4082;x
4156;Minister of Armament;尼科莱 马科拉克福 ;36;FA;Military Entrepreneur;Medium;M4083;x
4157;Minister of Security;弗拉基米尔 马尔夫斯基 ;36;FA;Back Stabber;Very High;M4084;x
4158;Head of Military Intelligence;密克黑尔 米多夫 ;36;FA;Dismal Enigma;Very High;M4085;x
4159;Chief of Staff;安东尼 伊万诺维奇 邓尼金 ;36;PA;School of Defence;High;M4086;x
4171;Head of Government;安东尼 伊万诺维奇 邓尼金 ;36;PA;Old General;High;M4086;x
4172;Chief of Army;安东尼 伊万诺维奇 邓尼金 ;36;PA;Static Defence Doctrine;High;M4086;x
4160;Chief of Army;拉夫伦蒂 克尔涅洛夫 ;36;FA;Guns and Butter Doctrine;Very High;M4087;x
4161;Chief of Navy;伯利斯 马卡罗夫 ;36;FA;Decisive Naval Battle Doctrine;High;M4088;x
4162;Chief of Air Force;亚历山科查克 ;36;FA;Naval Aviation Doctrine;High;M4089;x
4163;Head of Government;安德烈 安德烈耶维奇 弗拉索夫;36;FA;Ambitious Union Boss;High;M4090;x
4167;Head of State;俄罗斯民族委员会;36;NS;Ruthless Powermonger;High;MRUS Senate;x
4165;Head of State;列夫 托洛茨基;36;LWR;Powerhungry Demagogue;High;M4073;x
4170;Head of Government;列夫 托洛茨基;36;LWR;Head Of The International Left Opposition;High;M4073;x
4166;Head of Government;尼克莱 叶佐夫 ;36;NS;Backroom Backstabber;High;M4093;x
4095;Head of Government;依尔克里 泽勒特里夫 ;36;SC;Naive Optimist;High;M4095;x
4096;Foreign Minister;波利斯 萨特姆 ;36;FA;Iron Fisted Brute;Low;M4096;x
4097;Foreign Minister;费多尔 齐克林 ;36;NS;Biased Intellectual;Low;M4097;x
4098;Foreign Minister;乔治 巴拉索夫 ;36;NS;The Cloak N Dagger Schemer;Low;M4098;x
4099;Foreign Minister;波利斯 奇诺夫 ;36;PA;Apologetic Clerk;Low;M4099;x
4100;Foreign Minister;皮奥特 普雷汉诺夫 ;36;PA;Ideological Crusader;Low;M4100;x
4101;Foreign Minister;奥莱格 米尔约克夫 ;36;SC;Great Compromiser;Low;M4101;x
4102;Foreign Minister;帕维尔 科诺瓦尔拉夫 ;36;SC;Apologetic Clerk;Low;M4102;x
4103;Minister of Armament;赛尔基 罗德严克 ;36;FA;Resource Industrialist;Medium;M4103;x
4104;Minister of Armament;尼古拉斯 科拉斯诺夫 ;36;NS;Administrative Genius;Medium;M4104;x
4105;Minister of Armament;波利斯 克门诺夫 ;36;NS;Resource Industrialist;Medium;M4105;x
4106;Minister of Armament;乔治 巴拉索夫 ;36;PA;Resource Industrialist;Medium;M4098;x
4107;Minister of Armament;尤里 罗斯菲尔德 ;36;PA;Theoretical Scientist;Medium;M4107;x
4108;Minister of Armament;赛尔基 萨芬诺夫 ;36;SC;Theoretical Scientist;Medium;M4108;x
4109;Minister of Armament;波利斯 马尔切夫 ;36;SC;Infantry Proponent;Medium;M4109;x
4110;Minister of Security;赛尔吉 萨作诺夫 ;36;FA;Compassionate Gentleman;Very High;M4110;x
