SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
70001;Head of State;G.H.H. 威利尔斯 克拉林顿勋爵 ;36;ML;Stern Imperialist;High;M70001;x
70002;Head of Government;詹姆斯 赫特左格 ;36;ML;Old General;High;M70002;x
70003;Foreign Minister;詹姆斯 赫特左格 ;36;ML;General Staffer;Very High;M70002;x
70004;Minister of Armament;尼古拉斯 哈文加 ;36;ML;laissez-faire capitalist;Very High;M70004;x
70005;Minister of Security;简 C. 斯姆特斯 ;36;ML;Man of the People;High;M70005;x
70006;Head of Military Intelligence;简 C. 斯姆特斯 ;36;ML;Logistics Specialist;Medium;M70005;x
70007;Chief of Staff;皮埃尔 范 赖尼维尔德 ;36;ML;School of Manoeuvre;Very High;M70007;x
70008;Chief of Army;简 C. 斯姆特斯 ;36;ML;Armoured Spearhead Doctrine;Very High;M70005;x
70009;Chief of Navy;皮埃尔 奥利弗-科诺尔 ;36;ML;Open Seas Doctrine;Very High;M70009;x
70010;Chief of Air Force;皮埃尔 范 赖尼维尔德 ;36;ML;Air Superiority Doctrine;Very High;M70007;x
70022;Head of State;G.H.H. 威利尔斯 克拉林顿勋爵 ;36;SC;Stern Imperialist;High;M70001;x
70023;Head of State;帕特里克 杜坎 爵士 ;37;ML;Autocratic Charmer;High;M70023;x
70024;Head of State;帕特里克 杜坎 爵士 ;37;SC;Autocratic Charmer;High;M70023;x
70025;Head of State;尼古拉斯 J. 德 万特 ;43;SC;Insignificant Layman;High;M70025;x
70026;Head of State;尼古拉斯 J. 德 万特 ;43;ML;Insignificant Layman;High;M70025;x
70027;Head of State;基甸 B. 范 左尔 ;47;ML;Pig-headed Isolationist;High;M70027;x
70028;Head of State;基甸 B. 范 左尔 ;47;SC;Pig-headed Isolationist;High;M70027;x
70029;Head of Government;D. F. 马伦 ;36;SC;Flamboyant Tough Guy;High;M70029;x
70030;Head of Government;简 C. 斯姆特斯 ;38;ML;Backroom Backstabber;High;M70005;x
70031;Foreign Minister;格尔特 克龙耶 ;36;PA;Iron Fisted Brute;High;M70031;x
70032;Foreign Minister;埃里克 H. 拉尔文 ;36;SC;Biased Intellectual;Very High;M70032;x
70033;Foreign Minister;雷金纳德 布兰克伯格 ;37;SC;Biased Intellectual;High;M70033;x
70034;Foreign Minister;格雷厄姆 波斯纳 ;38;ML;Apologetic Clerk;High;M70034;x
70035;Foreign Minister;简 C. 斯姆特斯 ;38;ML;Ideological Crusader;Very High;M70005;x
70036;Foreign Minister;E.G. 简森 ;41;ML;Great Compromiser;High;M70036;x
70037;Foreign Minister;皮埃尔 范 赖尼维尔德 ;41;SC;General Staffer;Very High;M70007;x
70038;Foreign Minister;L. J. 杜 普莱西斯 ;43;PA;Ideological Crusader;High;M70013;x
70039;Foreign Minister;D. F. 马伦 ;43;SC;The Cloak N Dagger Schemer;medium;M70029;x
70040;Minister of Armament;C. 德 温伯格 杜 托特 ;36;PA;Tank Proponent;Medium;M70015;x
70041;Minister of Armament;J. G. 斯特里基多姆 ;37;PA;Resource Industrialist;Very High;M70041;x
70042;Minister of Armament;詹姆斯 赫特左格 ;38;ML;Infantry Proponent;Very High;M70002;x
70043;Minister of Armament;S.P. 勒 罗克斯 ;38;ML;Administrative Genius;Low;M70043;x
70045;Minister of Armament;H. J. 范 德尔 波约 ;39;ML;Theoretical Scientist;Very High;M70045;x
70046;Minister of Armament;W. E. 马德利 ;39;ML;Administrative Genius;High;M70046;x
70047;Minister of Armament;阿道夫 马伦 ;40;ML;Air to Ground Proponent;Low;M70047;x
70048;Minister of Armament;查尔斯 T. 特 沃特 ;41;ML;Resource Industrialist;High;M70048;x
70049;Minister of Armament;奥斯瓦德 皮洛 ;41;PA;Military Entrepreneur;Medium;M70014;x
70050;Minister of Armament;戈尼列斯 范 戈尼列斯 ;42;SC;Submarine Proponent;Very High;M70050;x
70051;Minister of Armament;皮埃尔 奥利弗-科诺尔 ;43;SC;Battle Fleet Proponent;Very High;M70009;x
70052;Minister of Armament;P.O. 绍尔 ;43;SC;laissez-faire capitalist;Very High;M70052;x
70053;Minister of Armament;马力诺斯 范 奥斯特克普 ;45;SC;Air to Sea Proponent;Low;M70053;x
70055;Minister of Security;亨德利 F. 维活德 ;36;SC;Prince of Terror;High;M70055;x
70056;Minister of Security;N. J. 范 德尔 莫维 ;36;SC;Compassionate Gentleman;High;M70056;x
70057;Minister of Security;C. R. 斯沃特 ;37;SC;Silent Lawyer;Very High;M70057;x
70058;Minister of Security;C. F. 斯塔莱德 ;38;ML;Silent Lawyer;High;M70058;x
70059;Minister of Security;T.E. 狄更斯 ;38;SC;Man of the People;High;M70059;x
70060;Minister of Security;D. F. 马伦 ;38;SC;Crime Fighter;Low;M70029;x
70061;Minister of Security;E.G. 简森 ;39;ML;Silent Lawyer;High;M70036;x
70062;Minister of Security;J. G. 斯特里基多姆 ;40;SC;Back Stabber;Very High;M70041;x
70063;Minister of Security;F.C. 伊拉兹马斯 ;41;SC;Efficient Sociopath;Very High;M70063;x
70064;Minister of Security;C. 德 温伯格 杜 托特 ;43;PA;Crime Fighter;Medium;M70015;x
70065;Head of Military Intelligence;B.J. 舒曼 ;36;SC;Logistics Specialist;Medium;M70065;x
70066;Head of Military Intelligence;吉诺特 德 拉 托利尔 ;39;SC;Naval Intelligence Specialist;Very High;M70066;x
70067;Head of Military Intelligence;西摩 杰克林 ;40;PA;Political Specialist;Medium;M70016;x
70068;Head of Military Intelligence;埃里克 拉尔文 ;43;SC;Technical Specialist;Very High;M70032;x
70069;Head of Military Intelligence;C. R. 斯沃特 ;43;SC;Dismal Enigma;Very High;M70057;x
70070;Head of Military Intelligence;尼古拉斯 哈文加 ;45;SC;Industrial Specialist;Very High;M70004;x
70071;Chief of Staff;詹姆斯 米切尔-贝克 ;37;SC;School of Manoeuvre;Medium;M70071;x
70072;Chief of Staff;伦纳德 贝耶斯 ;40;SC;School of Defence;Medium;M70072;x
70073;Chief of Staff;C. 德 温伯格 杜 托特 ;43;PA;School of Fire Support;Medium;M70015;x
