SAL;Ruling Cabinet - Start;Name;Pool;I德ology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
77001;Head of State;马克西米连 赫尔南德斯 马丁内兹 ;36;PA;Resigned Generalissimo;High;M77001;x
77002;Head of Government;马克西米连 赫尔南德斯 马丁内兹 ;36;PA;Old General;High;M77001;x
77003;Foreign Minister;米盖尔 羘gel 阿罗约 ;36;SC;Biased Intellectual;Medium;M77003;x
77004;Minister of Armament;阿尔伯托 戈莫 萨拉特 ;36;PA;Infantry Proponent;Medium;M77004;x
77005;Minister of Security;Fi德l 克里斯蒂诺 加雷利 ;36;PA;Back Stabber;Medium;M77005;x
77006;Head of Military Intelligence;奥斯卡 A. 博拉鲁斯 ;36;PA;Industrial Specialist;Medium;M77006;x
77007;Chief of Staff;马克 A. 莫里纳 ;36;PA;School of Mass Combat;Medium;M77007;x
77008;Chief of Army;马克西米连 赫尔南德斯 马丁内兹 ;36;PA;Elastic defence Doctrine;High;M77001;x
77009;Chief of Navy;劳尔 鲁道夫 桑切斯 ;36;PA;Open Seas Doctrine;Medium;M77009;x
77010;Chief of Air Force;赫伯特 阿贝莱 ;36;PA;Army Aviation Doctrine;Medium;M77010;x
77031;Head of State;安德鲁 伊格纳西欧 莫尼德兹 ;44;SL;Benevolent Gentleman;High;M77011;x
77032;Head of State;奥斯卡 阿奎罗 y 萨利纳斯 ;44;PA;Powerhungry demagogue;High;M77032;x
77033;Head of State;萨尔瓦多 卡斯特拉达 卡斯托 ;45;SC;Die-hard Reformer;High;M77033;x
77034;Head of Government;安德鲁 伊格纳西欧 莫尼德兹 ;44;SL;Naive Optimist;High;M77011;x
77035;Head of Government;奥斯卡 阿奎罗 y 萨利纳斯 ;44;PA;Old General;High;M77032;x
77036;Head of Government;萨尔瓦多 卡斯特拉达 卡斯托 ;45;SC;Smiling Oilman;High;M77033;x
77037;Foreign Minister;阿图罗 拉梅 阿维拉 ;42;SC;The Cloak N Dagger Schemer;Medium;M77013;x
77038;Foreign Minister;胡里奥 安里奎 维拉 ;44;SD;Iron Fisted Brute;Medium;M77038;x
77039;Foreign Minister;阿尔伯托 阿格里奥 罗塞尔 ;44;PA;Great Compromiser;Medium;M77039;x
77040;Foreign Minister;赫克特 埃斯科巴 瑟拉里 ;45;SC;General Staffer;Medium;M77040;x
77041;Foreign Minister;华金 雷瓦 y 莱里达 ;46;ML;Biased Intellectual;Medium;M77041;x
77042;Minister of Armament;皮奥 罗梅罗 博斯科 ;38;SL;Administrative Genius;Medium;M77012;x
77043;Minister of Armament;佩德罗 海梅 德 马瑟斯 ;38;SC;laissez-faire capitalist;Medium;M77043;x
77044;Minister of Armament;何塞 玛丽亚 库埃拉尔 ;45;ML;Tank Proponent;Very Low;M77022;x
77045;Minister of Armament;何塞 古斯塔沃 格雷罗 ;44;SL;Resource Industrialist;Medium;M77045;x
77046;Minister of Security;佩德罗 海梅 德 马瑟斯 ;37;SL;Man of the People;Medium;M77043;x
77047;Minister of Security;何塞 阿的尔 普拉达 ;39;PA;Compassionate Gentleman;Medium;M77015;x
77048;Minister of Security;佩德罗 海梅 德 马瑟斯 ;41;SC;Man of the People;Medium;M77043;x
77049;Head of Military Intelligence;阿曼多 莫里纳 梅斯 ;41;SC;Dismal Enigma;Medium;M77016;x
77050;Head of Military Intelligence;萨尔瓦多 佩莱 特乔 ;44;SD;Logistics Specialist;Medium;M77026;x
77051;Head of Military Intelligence;劳拉 H. 德 萨拉扎 ;44;SL;Technical Specialist;Medium;M77023;x
77052;Chief of Staff;安德鲁 伊格纳西欧 莫尼德兹 ;38;PA;School of defence;Medium;M77011;x
77054;Chief of Army;马鲁罗 埃斯皮奥拉 卡斯托 ;43;SC;decisive Battle Doctrine;Medium;M77018;x
77055;Chief of Army;何塞 阿格莱 卡斯蒂奥 ;44;SD;Guns and Butter Doctrine;Low;M77028;x
77056;Chief of Navy;欧拉希奥 卡内约 伊班纳 ;40;SC;Indirect Approach Doctrine;Medium;M77019;x
77058;Chief of Air Force;里卡多 阿布莱戈 阿布莱戈 ;43;SC;Vertical Envelopment Doctrine;Medium;M77020;x
77059;Chief of Air Force;米尔顿 安德拉德 卡布莱拉 ;44;SD;Army Aviation Doctrine;Medium;M77030;x
77060;Chief of Staff;奥斯卡 阿奎罗 y 萨利纳斯 ;44;PA;School of Mass Combat;High;M77032;x
77061;Chief of Army;奥斯卡 阿奎罗 y 萨利纳斯 ;44;PA;Elastic defence Doctrine;High;M77032;x
77062;Minister of Armament;何塞 古斯塔沃 格雷罗 ;44;SC;laissez-faire capitalist;Medium;M77045;x
77063;Chief of Staff;萨尔瓦多 卡斯特拉达 卡斯托 ;45;SC;School of Manoeuvre;High;M77033;x
77064;Chief of Army;赫克特 埃斯科巴 瑟拉里 ;45;SC;Armoured Spearhead Doctrine;Medium;M77040;x
77021;Head of State;埃古斯特 法拉邦多 马丁 ;36;LE;Weary Stiffneck;High;M77021;x
77022;Head of Government;何塞 玛丽亚 卡布莱拉 ;36;LE;Naive Optimist;High;M77022;x
77023;Foreign Minister;Laura H. 德 萨拉扎 ;36;LWR;Iron Fisted Brute;Medium;M77023;x
77025;Minister of Security;Franco 赫尔南德斯 维拉 ;36;LE;Compassionate Gentleman;Medium;M77025;x
77027;Chief of Staff;埃古斯特 法拉邦多 马丁 ;36;LE;School of Fire Support;Medium;M77021;x
77065;Head of State;奥斯卡 A. 奥索里奥 ;48;PA;Resigned Generalissimo;High;M77065;x
77066;Head of Government;奥斯卡 A. 奥索里奥 ;48;PA;Old General;High;M77065;x
77067;Foreign Minister;佛兰科 阿梅里戈 帕兹 ;48;PA;Iron Fisted Brute;Medium;M77067;x
77068;Minister of Armament;赫伯特奥 科斯塔 ;48;PA;Air Superiority Proponent;Medium;M77068;x
77069;Minister of Security;曼努埃尔 德 何塞 科尔多瓦 ;48;PA;Prince of Terror;Medium;M77069;x
77070;Head of Military Intelligence;雷纳多 瓜里尼多 波赫尔 ;48;PA;Naval Intelligence Specialist;Medium;M77070;x
77071;Chief of Staff;奥斯卡 A. 博拉鲁斯 ;48;PA;School of defence;High;L360003;x
77072;Chief of Army;奥斯卡 A. 奥索里奥 ;48;PA;decisive Battle Doctrine;High;M77065;x
77073;Chief of Navy;雷纳多 瓜里尼多 波赫尔 ;48;PA;Open Seas Doctrine;Medium;M77070;x
77074;Chief of Air Force;赫伯特奥 科斯塔 ;48;PA;Air Superiority Doctrine;Medium;M77068;x
77075;Chief of Army;曼努埃尔 德 何塞 科尔多瓦 ;50;PA;Guns and Butter Doctrine;High;M77069;x
77076;Chief of Army;曼努埃尔 何塞 玛丽亚 莱姆斯 洛佩斯 ;51;PA;Armoured Spearhead Doctrine;High;M77076;x
77077;Chief of Staff;曼努埃尔 德 何塞 科尔多瓦 ;51;PA;School of Fire Support;High;M77069;x
