SCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
17001;Head of State;艾伯特 梅耶 ;36;ML;Ruthless Powermonger;High;M17001;x
17002;Head of Government;艾伯特 梅耶 ;36;ML;Silent Workhorse;High;M17001;x
17003;Foreign Minister;吉赛贝 莫塔 ;36;SL;Apologetic Clerk;Very High;M17003;x
17004;Minister of Armament;艾伯特 梅耶 ;36;ML;laissez-faire capitalist;Very High;M17001;x
17005;Minister of Security;约翰尼斯 鲍曼 ;36;ML;Compassionate Gentleman;Very High;M17005;x
17006;Head of Military Intelligence;罗杰 马森 ;36;SL;Industrial Specialist;Very High;M17006;x
17007;Chief of Staff;雅各布 I. 休伯 ;36;SL;School of Fire Support;Very High;M17007;x
17008;Chief of Army;约翰 奥古斯特 苏特 ;36;ML;Static Defence Doctrine;Very High;M17008;x
17009;Chief of Navy;雷内 冯 格拉丰里德 ;36;ML;Base Control Doctrine;Very High;M17009;x
17010;Chief of Air Force;奥斯卡 拜德 ;36;ML;Air Superiority Doctrine;Very High;M17010;x
17031;Head of State;吉赛贝 莫塔 ;37;SL;Stern Imperialist;High;M17003;x
17032;Head of State;约翰尼斯 鲍曼 ;38;ML;Resigned Generalissimo;High;M17005;x
17033;Head of State;菲利普 埃特尔 ;39;SL;Autocratic Charmer;High;M17033;x
17034;Head of State;马塞尔 毕雷-古拉兹 ;40;SD;Popular Figurehead;High;M17034;x
17035;Head of State;恩内斯特 怀特 ;41;ML;Powerhungry Demagogue;High;M17035;x
17037;Head of State;恩里克 西里奥 ;43;SD;Die-hard Reformer;High;M17037;x
17038;Head of State;沃尔特 斯坦普夫里 ;44;ML;Barking Buffoon;High;M17038;x
17039;Head of State;埃杜拉德 冯 斯泰格尔 ;45;SC;Benevolent Gentleman;High;M17039;x
17040;Head of State;卡尔 科贝特 ;46;ML;Pig-headed Isolationist;High;M17040;x
17042;Head of Government;吉赛贝 莫塔 ;37;SL;Silent Workhorse;High;M17003;x
17043;Head of Government;约翰尼斯 鲍曼 ;38;ML;Ambitious Union Boss;High;M17005;x
17044;Head of Government;菲利普 埃特尔 ;39;SL;Flamboyant Tough Guy;High;M17033;x
17045;Head of Government;马塞尔 毕雷-古拉兹 ;40;SD;Political Protege;High;M17034;x
17046;Head of Government;恩内斯特 怀特 ;41;ML;Backroom Backstabber;High;M17035;x
17048;Head of Government;恩里克 西里奥 ;43;SD;Corporate Suit;High;M17037;x
17049;Head of Government;沃尔特 斯坦普夫里 ;44;ML;Naive Optimist;High;M17038;x
17050;Head of Government;埃杜拉德 冯 斯泰格尔 ;45;SL;Smiling Oilman;High;M17039;x
17051;Head of Government;卡尔 科贝特 ;46;ML;Happy Amateur;High;M17040;x
17053;Foreign Minister;马塞尔 毕雷-古拉兹 ;40;ML;Great Compromiser;Medium;M17034;x
17054;Foreign Minister;马克斯 波蒂皮埃尔 ;45;SL;Iron Fisted Brute;Very High;M17054;x
17055;Foreign Minister;鲁道夫 盖尔帕克 ;36;LE;Ideological Crusader;Medium;M17055;x
17056;Foreign Minister;保罗 伍斯特里 ;37;ML;Ideological Crusader;High;M17056;x
17057;Foreign Minister;雅各布 I. 休伯 ;39;SL;General Staffer;High;M17007;x
17058;Foreign Minister;尼古拉斯 勒琼 ;40;SL;Apologetic Clerk;High;M17058;x
17059;Foreign Minister;奥托 布纳斯 ;41;SD;Iron Fisted Brute;High;M17059;x
17060;Foreign Minister;卡尔 泽尔特纳 ;41;SL;The Cloak N Dagger Schemer;High;M17060;x
17061;Foreign Minister;加斯特斯 斯特科林 ;38;ML;Great Compromiser;Very High;M17061;x
17062;Foreign Minister;恩里克 西里奥 ;42;SD;Ideological Crusader;High;M17037;x
17063;Foreign Minister;沃尔特 斯坦普夫里 ;43;ML;Iron Fisted Brute;High;M17038;x
17064;Foreign Minister;马克斯 考夫曼 ;44;SL;Biased Intellectual;High;M17064;x
17065;Foreign Minister;保罗 曼兹 ;45;SL;Great Compromiser;High;M17065;x
17066;Minister of Armament;弗雷德里希 特劳古特-瓦赫伦 ;40;ML;Resource Industrialist;Very High;M17066;x
17067;Minister of Armament;艾伯特 爱因斯坦 ;36;SL;Theoretical Scientist;Very High;M17067;x
17068;Minister of Armament;海因里希 汉沙因 ;37;SL;laissez-faire capitalist;Very High;M17068;x
17069;Minister of Armament;雅各布 莫斯曼 ;37;SL;Military Entrepreneur;Very High;M17069;x
17070;Minister of Armament;雅各布 I. 休伯 ;38;SL;Infantry Proponent;High;M17007;x
17071;Minister of Armament;恩内斯特 怀特 ;39;ML;Resource Industrialist;Very High;M17035;x
17072;Minister of Armament;恩内斯特 韦伯 ;41;SL;Administrative Genius;Very High;M17072;x
17073;Minister of Armament;莱昂纳多 卡斯特里 ;42;SL;Tank Proponent;High;M17073;x
17074;Minister of Armament;恩内斯特 诺布斯 ;44;SD;Resource Industrialist;Very High;M17074;x
17075;Minister of Armament;奥托 加斯 ;38;SD;Air to Ground Proponent;Very High;M17075;x
17076;Minister of Armament;约翰 吉纽 ;42;ML;Resource Industrialist;Very High;M17076;x
17077;Minister of Armament;沃纳 珍妮 ;40;SD;Tank Proponent;Very High;M17077;x
17078;Minister of Armament;莱奥 瑞士 ;44;SD;Administrative Genius;Very High;M17078;x
17079;Minister of Armament;鲁道夫 明格 ;44;ML;Administrative Genius;Very High;M17079;x
17080;Minister of Security;克莱门斯 斯特克里 ;44;ML;Silent Lawyer;Very High;M17080;x
17081;Minister of Security;恩内斯特 洛里格 ;44;SD;man of the People;Very High;M17081;x
17082;Minister of Security;海因里希 罗斯姆德 ;40;ML;Crime Fighter;Very High;M17082;x
17083;Minister of Security;汉斯 鲁宾 ;40;SD;Back Stabber;Very High;M17083;x
17084;Minister of Security;保罗 福蒂格 ;42;ML;Silent Lawyer;Very High;M17084;x
17085;Minister of Security;奎多 米舍尔 ;38;SD;Prince of Terror;Very High;M17085;x
17086;Minister of Security;海因里希 阿伯格 ;36;ST;Crime Fighter;Very High;M17086;x
17087;Minister of Security;古斯塔夫 阿多 ;36;ML;man of the People;Very High;M17087;x
17088;Minister of Security;弗雷克 卡隆德 ;36;SL;Back Stabber;Very High;M17088;x
17089;Minister of Security;埃德蒙 苏黎世 ;38;SL;Prince of Terror;Very High;M17089;x
17090;Minister of Security;贡扎格 德 雷诺 ;37;SL;Compassionate Gentleman;Very High;M17090;x
17091;Minister of Security;雨果 格施温德 ;39;SL;Crime Fighter;Very High;M17091;x
17092;Minister of Security;埃杜拉德 冯 斯泰格尔 ;41;SL;Silent Lawyer;Very High;M17039;x
