SCO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
561001;Head of State;哈罗德 哈林顿 巴尔弗 ;36;ML;Barking Buffoon;High;M561001;x
561002;Head of Government;约翰 斯图亚特 博斯维克爵士 ;36;ML;Silent Workhorse;High;M561002;x
561003;Foreign Minister;卢休斯 普兰塔格内特 福克兰 ;36;ML;Great Compromiser;High;M561003;x
561004;Minister of Armament;詹姆斯 菲兹沃恩纳  德斯佩森 ;36;ML;Battle Fleet Proponent;Medium;M561004;x
561005;Minister of Security;赫布莱德伯爵 德 拉 沃尔 ;36;ML;Back Stabber;Medium;M561005;x
561006;Head of Military Intelligence;约翰 金罗斯 男爵 ;36;ML;Dismal Enigma;Medium;M561006;x
561007;Chief of Staff;菲利普 麦克斯维尔 巴尔弗 ;36;ML;School of Psychology;Medium;L1018;x
561008;Chief of Army;S.T. 哈克维尔-史密斯 ;36;ML;Elastic Defence Doctrine;Medium;L1152;x
561009;Chief of Navy;T.L. 布鲁斯-弗拉瑟 ;36;ML;Open Seas Doctrine;Medium;L1328;x
561010;Chief of Air Force;欧文 博伊德 ;36;ML;Army Aviation Doctrine;Medium;L1418;x
561011;Head of State;查尔斯三世 沃尔格雷夫爵士 ;36;PA;Benevolent Gentleman;High;M561011;x
561012;Head of State;亨利 麦克格雷 ;36;LWR;Die-hard Reformer;High;M561012;x
561013;Head of Government;詹姆斯 阿伯康 公爵 ;36;PA;Backroom Backstabber;High;M561013;x
561014;Head of Government;伊格内修斯 R. 杜纳切 ;36;LWR;Happy Amateur;High;M561014;x
561015;Foreign Minister;查尔斯 戈登公爵 ;36;PA;General Staffer;High;M561015;x
561016;Foreign Minister;唐纳德 卡德罗斯 厄斯金 ;36;LWR;Iron Fisted Brute;High;M561016;x
561017;Minister of Armament;兰 坎贝尔 格雷 ;36;PA;Resource Industrialist;Medium;M561017;x
561018;Minister of Armament;彼得 德鲁蒙德 麦克唐纳; 36;LWR;Military Entrepreneur;Medium;M561018;x
561019;Minister of Security;查尔斯 布雷多尔本伯爵 ;36;PA;man of the People;Medium;M561019;x
561020;Minister of Security;马尔科姆 麦克唐纳 ;36;LWR;Compassionate Gentleman;Medium;M561020;x
561021;Head of Military Intelligence;查尔斯  南艾斯克伯爵 ;36;PA;Logistics Specialist;Medium;M561021;x
561022;Head of Military Intelligence;玛丽 卡尔迈基 斯托佩斯 ;36;LWR;Technical Specialist;Medium;M561022;x
561023;Chief of Staff;哈罗德 富兰克林 ;36;PA;School of Defence;Medium;L1127;x
561024;Chief of Staff;理查德 迈克克里利 ;36;LWR;School of Manoeuvre;Medium;L1216;x
561025;Chief of Army;安德鲁 麦库洛奇 ;36;PA;Static Defence Doctrine;Medium;L1217;x
561026;Chief of Army;W.M. St.乔治 寇克 ;36;LWR;Decisive Battle Doctrine;Medium;L1181;x
561027;Chief of Navy;杰弗里 莱顿 ;36;PA;Decisive Naval Battle Doctrine;Medium;L1364;x
561028;Chief of Navy;安东尼 斯托克斯 ;36;LWR;Indirect Approach Doctrine;Medium;L1391;x
561029;Chief of Air Force;佩里 基恩 ;36;PA;Naval Aviation Doctrine;Medium;L1453;x
561030;Chief of Air Force;P.S. 夏洛特-道格拉斯 ;36;LWR;Carpet Bombing Doctrine;Medium;L1479;x
561031;Minister of Armament;乔治 布坎南 ;39;SL;Resource Industrialist;High;M561031;x
561032;Chief of Air Force;休 唐宁 爵士 ;36;ML;Air Superiority Doctrine;High;L1435;x
561033;Foreign Minister;威廉 盖拉切 ;36;LWR;Ideological Crusader;High;M561033;x
561034;Minister of Security;詹姆斯 莫科斯东 ;36;SD;Silent Lawyer;High;M561034;x
561035;Minister of Security;大卫 麦克斯维尔 范夫 ;41;ML;Compassionate Gentleman;High;M1085;x
561036;Foreign Minister;阿齐博尔 拉姆齐 ;43;FA;Iron Fisted Brute;Medium;M1054;x
561037;Foreign Minister;道格拉斯 汉密尔顿公爵 ;36;PA;The Cloak N Dagger Schemer;High;M561037;x
