SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
62001;Head of State;拉马八世 ;36;PA;Popular Figurehead;High;M62001;x
62002;Head of Government;冯特 巴哈哈约丁 ;36;PA;Happy Amateur;High;M62002;x
62003;Foreign Minister;哈 山姆佩塔西里 ;36;PA;Apologetic Clerk;Medium;M62003;x
62004;Minister of Armament;冯特 巴哈哈约丁 ;36;PA;Corrupt Kleptocrat;Medium;M62002;x
62005;Minister of Security;比里 帕依荣 ;36;PA;Back Stabber;Low;M62005;x
62006;Head of Military Intelligence;比里 帕依荣 ;36;PA;Industrial Specialist;Medium;M62005;x
62007;Chief of Staff;銮披汶 颂堪 ;36;PA;School of Mass Combat;Medium;M62007;x
62008;Chief of Army;銮披汶 颂堪 ;36;PA;Guns and Butter Doctrine;High;M62007;x
62009;Chief of Navy;比里 帕依荣 ;36;PA;Base Control Doctrine;Medium;M62005;x
62010;Chief of Air Force;费拉 瓦查扬朗萨里特 ;36;PA;Army Aviation Doctrine;High;M62010;x
62031;Head of State;H.R.H. 兰实 猜南德 王子 ;42;PA;Autocratic Charmer;High;M62031;x
62032;Head of State;拉马八世 ;45;SC;Popular Figurehead;High;M62001;x
62033;Head of State;拉马九世 ;46;PA;Benevolent Gentleman;High;M62011;x
62035;Head of Government;銮披汶 颂堪 ;38;FA;Old General;High;M62007;x
62036;Head of Government;宽 阿布哈亚文沙 ;44;PA;Silent Workhorse;High;M62036;x
62037;Head of Government;他维 彭亚科图 ;45;SC;Smiling Oilman;High;M62015;x
62038;Head of Government;瑟尼 帕拉莫加 ;46;SC;Corporate Suit;High;M62012;x
62039;Head of Government;宽 阿布哈亚文沙 ;46;ML;Silent Workhorse;High;M62036;x
62040;Head of Government;比里 帕依荣 ;46;PA;Old Admiral;High;M62005;x
62041;Head of Government;他旺 探隆那瓦沙瓦 ;46;PA;Political Protege;High;M62029;x
62042;Head of Government;冯特 巴哈哈约丁 ;39;SC;Happy Amateur;High;M62002;x
62043;Foreign Minister;柏椰 切特纳宋哈拉 ;38;FA;Apologetic Clerk;Medium;M62026;x
62044;Foreign Minister;微差特 维齐他瓦萨卡 ;42;FA;Ideological Crusader;Very High;M62044;x
62045;Foreign Minister;銮披汶 颂堪 ;43;FA;General Staffer;High;M62007;x
62046;Foreign Minister;比里 帕依荣 ;43;FA;Iron Fisted Brute;Low;M62005;x
62047;Foreign Minister;啊塔哈尅蒂 巴农雍 ;44;PA;Biased Intellectual;Medium;M62047;x
62048;Foreign Minister;他维 彭亚科图 ;45;SC;General Staffer;Medium;M62015;x
62049;Foreign Minister;瑟尼 帕拉莫加 ;45;SC;Ideological Crusader;Medium;M62012;x
62050;Foreign Minister;迪勒克 发加亚纳马 ;45;ML;Great Compromiser;Low;M62014;x
