SLV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
545001;Head of State;埃德尔 冯 赫斯帕达兹 ;36;PA;Resigned Generalissimo;High;M545001;x
545002;Head of Government;拉迪斯劳斯 克鲁斯 ;36;PA;Political Protege;High;M545002;x
545003;Foreign Minister;塞恩 沃赫尼科 ;36;PA;Great Compromiser;High;M545003;x
545004;Minister of Armament;丹科 乌舍克 ;36;PA;Military Entrepreneur;Medium;M545004;x
545005;Minister of Security;米兰 勒科瑟 ;36;PA;Crime Fighter;Medium;M545005;x
545006;Head of Military Intelligence;尼科 克雷菲尔 ;36;PA;Dismal Enigma;Medium;M545006;x
545007;Chief of Staff;提瓦多尔 斯图普卡 ;36;PA;School of Defence;Medium;M545007;x
545008;Chief of Army;何塞恩夫 科罗斯 ;36;PA;Elastic Defence Doctrine;Medium;M545008;x
545009;Chief of Navy;弗雷德里希 胡姆伯斯 ;36;PA;Open Seas Doctrine;Medium;M545009;x
545010;Chief of Air Force;古斯塔夫 卡萨蒂 ;36;PA;Vertical Envelopment Doctrine;Medium;M545010;x
545011;Head of State;亚瑟 冯 斯特劳森博格 ;36;SC;Die-hard Reformer;High;M545011;x
545012;Head of State;阿莱斯 祖潘希奇 ;36;LE;Benevolent Gentleman;High;M545012;x
545013;Head of Government;埃米尔 冯 布拉瑟尔 ;36;SC;Silent Workhorse;High;M545013;x
545014;Head of Government;巴特罗梅  瓦特泽科 ;36;LE;Ambitious Union Boss;High;M545014;x
545015;Foreign Minister;斯沃特 赫伦 ;41;PA;Biased Intellectual;High;M545015;x
545016;Foreign Minister;伊兹托克 普莱特纳 ;36;SC;Iron Fisted Brute;High;M545016;x
545017;Foreign Minister;爱德华 特鲁巴 ;36;LE;Ideological Crusader;High;M545017;x
545018;Minister of Armament;兹瓦丁 库达马兹 ;42;PA;laissez-faire capitalist;Medium;M545018;x
545019;Minister of Armament;约里奇 奥伦德克 ;36;SC;Administrative Genius;Medium;M545019;x
545020;Minister of Armament;加斯帕 索尔克 ;36;LE;Theoretical Scientist;Medium;M545020;x
545021;Minister of Armament;托马斯 格巴吉斯 ;42;LE;Strategic Air Proponent;Medium;M545021;x
545022;Minister of Security;卡儿 努纳特 ;36;SC;Prince of Terror;Medium;M545022;x
545023;Minister of Security;雨果 里比奇 ;36;LE;Efficient Sociopath;Medium;M545023;x
545024;Minister of Security;乌尔班 弗里尔 ;41;LE;Silent Lawyer;Medium;M545024;x
545025;Head of Military Intelligence;罗沃洛 米科拉维奇 ;36;SC;Industrial Specialist;Medium;M545025;x
545026;Head of Military Intelligence;普利莫斯 约兹科 ;36;LE;Political Specialist;Medium;M545026;x
545027;Head of Military Intelligence;维哈约姆 杜纳斯 ;42;LE;Technical Specialist;Medium;M545027;x
545028;Chief of Staff;弗朗兹 冯 乌尔姆 ;36;SC;School of Mass Combat;Medium;M545028;x
545029;Chief of Staff;亚历山大 布洛斯查 冯 阿伦脑 ;36;LE;School of Psychology;Medium;M545029;x
545030;Chief of Army;格里戈 朗 ;36;SC;Static Defence Doctrine;Medium;M545030;x
545031;Chief of Army;恩内斯特 冯 雅各布斯 ;36;SC;Guns and Butter Doctrine;Medium;M545031;x
545032;Chief of Navy;亚瑟 丹纳柯尔 ;36;SC;Decisive Naval Battle Doctrine;Medium;M545032;x
545033;Chief of Navy;雷恩 因普尔 ;36;LE;Indirect Approach Doctrine;Medium;M545033;x
545034;Chief of Air Force;艾伯特 冯 科德里希 ;36;SC;Army Aviation Doctrine;Medium;M545034;x
545035;Chief of Air Force;弗雷德里希 马扎尔 ;36;LE;Air Superiority Doctrine;Medium;M545035;x
