SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
10001;Head of State;米古 卡贝诺拉斯 费雷拉 ;36;FA;Resigned Generalissimo;High;M10001;x
10002;Head of Government;费度 迪维拉 埃朗多 ;36;FA;Political Protege;High;M10002;x
10003;Foreign Minister;弗朗西斯科 德 埃西斯 塞拉特 y 伯纳斯特 ;36;FA;Ideological Crusader;High;M10003;x
10004;Minister of Armament;泽尔曼 基尔 y 尤斯特 ;36;FA;Infantry Proponent;High;M10004;x
10005;Minister of Security;米古 彭特 曼索 德 苏内卡 ;36;PA;Crime Fighter;High;M10005;x
10006;Head of Military Intelligence;安吉尔 萨拉斯 拉雷萨博 ;36;FA;Political Specialist;High;M10006;x
10007;Chief of Staff;费度 迪维拉 埃朗多 ;36;FA;School of Psychology;High;M10002;x
10008;Chief of Army;埃米利奥 莫拉 维度 ;36;FA;Decisive Battle Doctrine;Very High;M10008;x
10009;Chief of Navy;弗朗西斯科 莫雷诺 费南迪斯 ;36;FA;Open Seas Doctrine;High;M10009;x
10010;Chief of Air Force;阿尔弗雷多 甘德兰 多尼 ;36;PA;Carpet Bombing Doctrine;High;M10010;x
10032;Head of State;弗朗西斯科 弗朗哥 巴哈蒙德 ;36;PA;Stern Imperialist;High;L3426;x
10034;Head of State;杰维尔 德 波彭-帕尔马 ;36;FA;Autocratic Charmer;High;M10034;x
10038;Head of State;吉恩 三世 ;41;SC;Benevolent Gentleman;High;M10011;x
10039;Head of State;阿方索 十三世 ;36;SC;Insignificant Layman;High;M10039;x
10045;Head of Government;埃米利奥 莫拉 维度 ;36;PA;Old General;High;M10008;x
10046;Head of Government;弗朗西斯科 弗朗哥 巴哈蒙德 ;36;PA;Silent Workhorse;High;L3426;x
10048;Head of Government;托马斯 多明戈斯 阿雷瓦诺 ;37;FA;Happy Amateur;High;M10048;x
10049;Head of Government;曼诺尔 福 康德 ;41;FA;Political Protege;High;M10049;x
10050;Head of Government;曼诺尔 海迪拉 拉雷耶 ;44;FA;Smiling Oilman;High;M10050;x
10054;Head of Government;J.M. 基尔-罗贝斯 昆诺里斯 ;36;PA;Silent Workhorse;High;M10012;x
10055;Head of Government;冈萨罗 奎波 德 兰诺 ;36;ML;Old General;High;M10055;x
10057;Foreign Minister;弗朗西斯科 戈麦斯-约丹纳 y 索萨 ;36;PA;Biased Intellectual;High;M10057;x
10058;Foreign Minister;吉恩 路易斯 贝戈贝德 阿提萨 ;39;PA;General Staffer;Medium;M10013;x
10059;Foreign Minister;拉蒙 萨拉诺 苏内尔 ;40;PA;Ideological Crusader;Medium;M10059;x
10060;Foreign Minister;杰西 拉奎利卡 y 埃尔奎萨 ;44;PA;The Cloak N Dagger Schemer;High;M10060;x
10061;Foreign Minister;阿尔贝托 M. 阿提杰-阿尔维拉斯 ;45;PA;Apologetic Clerk;High;M10061;x
10062;Foreign Minister;托马西 康德 德 雷德斯诺 ;36;FA;Iron Fisted Brute;High;M10048;x
10063;Foreign Minister;恩利奎 普拉 y 丹尼尔 ;38;FA;Ideological Crusader;Medium;M10063;x
