TAJ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
524001;Head of State;德米特里 普罗托罗夫 ;36;LE;Die-hard Reformer;High;M524001;x
524002;Head of Government;波波德扎 加夫若夫 ;36;LE;Flamboyant Tough Guy;High;M524002;x
524003;Foreign Minister;乌隆波伊 乌绍诺夫 ;36;LE;General Staffer;High;M524003;x
524004;Minister of Armament;米尔扎 奥格利 胡塞伊诺夫 ;36;LE;Tank Proponent;Medium;M524004;x
524005;Minister of Security;格雷戈里 布罗伊多 ;36;LE;Back Stabber;Medium;M524005;x
524006;Head of Military Intelligence;苏莱恩 舒查登斯 ;36;LE;Dismal Enigma;Medium;M524006;x
524007;Chief of Staff;阿拉 加夫诺夫 ;36;LE;School of Fire Support;Medium;M524007;x
524008;Chief of Army;威尼阿敏 普罗托波波夫 ;36;LE;Decisive Battle Doctrine;Medium;M524008;x
524009;Chief of Navy;佩恩达尔 里恩登科 ;36;LE;Indirect Approach Doctrine;Medium;M524009;x
524010;Chief of Air Force;米哈伊尔 巴苏科尔 ;36;LE;Vertical Envelopment Doctrine;Medium;M524010;x
524011;Head of State;加森 阿卜杜尔拉耶夫 ;36;SL;Stern Imperialist;High;M524011;x
524012;Head of State;贝兰格 谢列兹尼奥夫 ;36;PA;Insignificant Layman;High;M524012;x
524013;Head of Government;沙丹 拉夫雷内茨 ;36;SL;Corporate Suit;High;M524013;x
524014;Head of Government;叶夫根伊 曼米多夫 ;36;PA;Backroom Backstabber;High;M524014;x
524015;Foreign Minister;谢林绍 绍特摩尔 ;36;LE;Iron Fisted Brute;High;M524015;x
524016;Foreign Minister;菲达 隆金 ;36;SL;Ideological Crusader;High;M524016;x
524017;Foreign Minister;加里 阿伯列夫 ;36;SL;Biased Intellectual;High;M524017;x
524018;Foreign Minister;帕哈汉 阿萨诺夫 ;36;PA;Ideological Crusader;High;M524018;x
524019;Foreign Minister;弗雷巴 帕舍科夫 ;36;PA;Iron Fisted Brute;High;M524019;x
524020;Minister of Armament;康萨德 根金 ;36;LE;Resource Industrialist;Medium;M524020;x
524021;Minister of Armament;阿巴杜洛 纳欣巴耶夫 ;36;LE;Military Entrepreneur;Medium;M524021;x
524022;Minister of Armament;亚历克山大 巴耶科夫 ;36;LE;Theoretical Scientist;Medium;M524022;x
524023;Minister of Armament;赞德 科日 ;36;SL;Military Entrepreneur;Medium;M524023;x
524024;Minister of Armament;纳兹 根迪斯 ;36;SL;Tank Proponent;Medium;M524024;x
524025;Minister of Armament;伊万 普罗斯特 ;36;PA;Air to Ground Proponent;Medium;M524025;x
524026;Minister of Armament;伊利亚 车亚耶夫 ;36;PA;Theoretical Scientist;Medium;M524026;x
524027;Minister of Security;曼达里 库尔巴诺夫 ;36;LE;Compassionate Gentleman;Medium;M524027;x
524028;Minister of Security;曼通 库尔巴诺夫 ;36;SL;Silent Lawyer;Medium;M524028;x
524029;Minister of Security;格利高里 巴兰钦 ;36;SL;Compassionate Gentleman;Medium;M524029;x
524030;Minister of Security;亚历山大 贝克曼 ;36;PA;Prince of Terror;Medium;M524030;x
524031;Minister of Security;马哈斯蒂 加伏洛夫 ;36;PA;Silent Lawyer;Medium;M524031;x
524032;Minister of Security;法瑟 根纳季 ;36;PA;Crime Fighter;Medium;M524032;x
524033;Head of Military Intelligence;曼托茨 纳塞托夫 ;36;LE;Logistics Specialist;Medium;M524033;x
524034;Head of Military Intelligence;沙扬 巴里什尼科夫 ;36;SL;Dismal Enigma;Medium;M524034;x
524035;Head of Military Intelligence;伊戈尔 巴连科夫 ;36;SL;Technical Specialist;Medium;M524035;x
524036;Head of Military Intelligence;瓦列里 巴苏科夫 ;36;PA;Technical Specialist;Medium;M524036;x
524037;Head of Military Intelligence;费利克斯 伊利亚n ;36;PA;Political Specialist;Medium;M524037;x
524038;Chief of Staff;尼基拉伊 普罗沃托罗夫 ;36;LE;School of Mass Combat;Medium;M524038;x
524039;Chief of Staff;尤里 波米诺夫 ;36;SL;School of Manoeuvre;Medium;M524039;x
524040;Chief of Staff;乌伦博伊 伍绍罗夫 ;36;PA;School of Psychology;Medium;M524003;x
524041;Chief of Army;尼路法 卡扎车斯特夫 ;36;LE;Guns and Butter Doctrine;Medium;M524041;x
524042;Chief of Army;尼基塔 普罗斯库里亚科夫 ;36;SL;Armoured Spearhead Doctrine;Medium;M524042;x
524043;Chief of Army;阿拉 加伏洛夫 ;36;PA;Static Defence Doctrine;Medium;M524007;x
524044;Chief of Navy;西亚马克 西奈斯基 ;36;SL;Open Seas Doctrine;Medium;M524044;x
524045;Chief of Navy;乌伦博伊 伍绍罗夫 ;36;PA;Decisive Naval Battle Doctrine;Medium;M524003;x
524046;Chief of Air Force;彭达尔 吕登科 ;36;SL;Army Aviation Doctrine;Medium;M524009;x
524047;Chief of Air Force;沃尔特 苏伦 ;36;PA;Carpet Bombing Doctrine;Medium;M524047;x
