TEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
571001;Head of State;詹姆斯 布尔五世. 欧瑞德 ;36;PA;Ruthless Powermonger;High;M571001;x
571002;Head of Government;威廉 李 奥丹尼尔 ;36;PA;Political Protege;High;M571002;x
571003;Foreign Minister;J.T. 伦福儒 ;36;PA;The Cloak N Dagger Schemer;High;M571003;x
571004;Minister of Armament;杰西 H. 琼斯 ;36;PA;Resource Industrialist;Medium;M571004;x
571005;Minister of Security;奥斯卡 F. 霍尔柯姆 ;36;PA;Man of the People;Medium;M571005;x
571006;Head of Military Intelligence;奥迪斯 梅西 ;36;PA;Dismal Enigma;Medium;M571006;x
571007;Chief of Staff;小哈里 诺克斯 ;36;PA;School of Fire Support;Medium;M571007;x
571008;Chief of Army;约翰 B. 里基茨 ;36;PA;Decisive Battle Doctrine;Medium;M571008;x
571009;Chief of Navy;李 休 波拉德三世 ;36;PA;Open Seas Doctrine;Medium;M571009;x
571010;Chief of Air Force;唐纳尔 W. 阿明顿 ;36;PA;Carpet Bombing Doctrine;Medium;M571010;x
571011;Foreign Minister;李 O. 威拉德 ;41;PA;General Staffer;High;M571011;x
571012;Foreign Minister;库克 R. 斯蒂文森 ;43;PA;Iron Fisted Brute;High;M571012;x
571013;Minister of Armament;罗伯特 L. 迪拉德 ;39;PA;Theoretical Scientist;Medium;M571013;x
571014;Minister of Armament;亚瑟 坦尼 爱默森 ;43;PA;Battle Fleet Proponent;Medium;M571014;x
571015;Minister of Armament;罗伊 霍夫海因茨 ;44;PA;Administrative Genius;Medium;M571015;x
571016;Minister of Armament;约翰 E. 安德森 ;46;PA;Military Entrepreneur;Medium;M571016;x
571017;Minister of Security;科尼利厄斯 皮克特 ;37;PA;Efficient Sociopath;Medium;M571017;x
571018;Minister of Security;沃达尔 罗格斯 ;44;PA;Compassionate Gentleman;Medium;M571018;x
571019;Minister of Security;迈克尔 奥瑞基 哈兰 ;45;PA;Crime Fighter;Medium;M571019;x
571020;Minister of Security;乔治 萨金特 ;46;PA;Prince of Terror;Medium;M571020;x
571021;Head of Military Intelligence;小萨姆 J. 埃尔文 ;42;PA;Political Specialist;Medium;M571021;x
571022;Head of Military Intelligence;罗伯特 埃尔 希曼 ;45;PA;Industrial Specialist;Medium;M571022;x
571023;Chief of Staff;拉里 K. 阿诺德 ;42;PA;School of Manoeuvre;Medium;M571023;x
571024;Chief of Staff;李 O. 威拉德 ;44;PA;School of Psychology;Medium;M571011;x
571025;Chief of Army;R.J. 斯多克曼 ;39;PA;Static Defence Doctrine;Medium;M571025;x
571026;Chief of Army;麦隆 G. 阿什克罗夫特 ;43;PA;Armoured Spearhead Doctrine;Medium;M571026;x
571027;Chief of Navy;菲利普 R. 布什 ;41;PA;Indirect Approach Doctrine;Medium;M571027;x
571028;Chief of Air Force;理查德 C. 科林斯 ;43;PA;Army Aviation Doctrine;Medium;M571028;x
