TRK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
525001;Head of State;Kaikhaziz Atabayev ;36;ST;Weary Stiffneck;High;M525001;x
525002;Head of Government;格利高里 阿农什塔姆 ;36;ST;Flamboyant Tough Guy;High;M525002;x
525003;Foreign Minister;尼科拉伊 西欣 ;36;ST;Iron Fisted Brute;High;M525003;x
525004;Minister of Armament;雅科夫 波波克 ;36;ST;Tank Proponent;Medium;M525004;x
525005;Minister of Security;内尔迪拜伊 埃塔科夫 ;36;ST;Back Stabber;Medium;M525005;x
525006;Head of Military Intelligence;希瓦利 巴巴耶夫 ;36;ST;Technical Specialist;Medium;M525006;x
525007;Chief of Staff;尼基塔 N. 贝洛夫 ;36;ST;School of Manoeuvre;Medium;M525007;x
525008;Chief of Army;安德雷 乌尔里奇 ;36;ST;Armoured Spearhead Doctrine;Medium;M525008;x
525009;Chief of Navy;尤里 巴塔洛夫 ;36;ST;Base Control Doctrine;Medium;M525009;x
525010;Chief of Air Force;亚历山大 巴图林 ;36;ST;Naval Aviation Doctrine;Medium;M525010;x
525011;Head of State;博里斯 斯泰因 ;36;SD;Benevolent Gentleman;High;M525011;x
525012;Head of State;雅各布 苏里茨 ;36;SC;Pig-headed Isolationist;High;M525012;x
525013;Head of Government;罗萨利亚 萨尔金德 ;36;SD;Ambitious Union Boss;High;M525013;x
525014;Head of Government;伊万 麦伊斯基 ;36;SC;Happy Amateur;High;M525014;x
525015;Foreign Minister;什德扎 巴泰洛夫 ;36;ST;Great Compromiser;High;M525015;x
525016;Foreign Minister;伊里纳 尼科莱瓦 ;36;SD;The Cloak N Dagger Schemer;High;M525016;x
525017;Foreign Minister;米哈伊 维贝尔 ;36;SD;Ideological Crusader;High;M525017;x
525018;Foreign Minister;叶戈尔 拉弗罗夫 ;36;SC;Apologetic Clerk;High;M525018;x
525019;Foreign Minister;鲁斯兰 赫沃斯托夫 ;36;SC;Ideological Crusader;High;M525019;x
525020;Minister of Armament;阿赫马德 贝雷茨基 ;36;ST;Theoretical Scientist;Medium;M525020;x
525021;Minister of Armament;阿赫曼 尼科莱夫 ;36;ST;Infantry Proponent;Medium;M525021;x
525022;Minister of Armament;阿纳托利伊 博里申科 ;36;SD;Tank Proponent;Medium;M525022;x
525023;Minister of Armament;伊萨克 巴贝尔 ;36;SD;Strategic Air Proponent;Medium;M525023;x
525024;Minister of Armament;萨洛蒙 米霍尔斯 ;36;SC;Military Entrepreneur;Medium;M525024;x
525025;Minister of Armament;博里斯 约范 ;36;SC;Tank Proponent;Medium;M525025;x
525026;Minister of Security;雅戈尔 法林 ;36;ST;Efficient Sociopath;Medium;M525026;x
525027;Minister of Security;布塔拉耶夫 车尔诺夫 ;36;SD;Silent Lawyer;Medium;M525027;x
525028;Minister of Security;雅科夫 瓦什科夫 ;36;SD;Efficient Sociopath;Medium;M525028;x
525029;Minister of Security;鲁斯兰 姆拉查耶夫 ;36;SC;Prince of Terror;Medium;M525029;x
525030;Minister of Security;波利纳 泽穆祖兹纳 ;36;SC;Back Stabber;Medium;M525030;x
525031;Minister of Security;拉赫曼 马利科夫 ;36;SC;Compassionate Gentleman;Medium;M525031;x
525032;Head of Military Intelligence;图古尔 佩雷米宁 ;36;ST;Dismal Enigma;Medium;M525032;x
525033;Head of Military Intelligence;尼尼卡 布雷什科夫 ;36;SD;Political Specialist;Medium;M525033;x
525034;Head of Military Intelligence;阿马图拉赫 罗赫林 ;36;SD;Naval Intelligence Specialist;Medium;M525034;x
525035;Head of Military Intelligence;米哈伊尔 科尔彻夫 ;36;SC;Political Specialist;Medium;M525035;x
525036;Head of Military Intelligence;弗瑟沃洛德 梅耶尔霍尔 ;36;SC;Logistics Specialist;Medium;M525036;x
525037;Chief of Staff;皮奥特 A. 巴拉巴诺夫 ;36;SD;School of Psychology;Medium;M525037;x
525038;Chief of Staff;舒恩扎 莱弗斯 ;36;SC;School of Mass Combat;Medium;M525038;x
525039;Chief of Army;塞尔吉 P. 巴拉诺夫 ;36;SD;Decisive Battle Doctrine;Medium;M525039;x
525040;Chief of Army;拉弗伦蒂 贝尔林 ;36;SC;Elastic Defence Doctrine;Medium;M525040;x
525041;Chief of Navy;亚历山大 巴图林 ;36;SD;Decisive Naval Battle Doctrine;Medium;M525010;x
525042;Chief of Navy;雅各霍德 菲利佩夫 ;36;SC;Indirect Approach Doctrine;Medium;M525042;x
525043;Chief of Air Force;伊斯梅尔 佩特里科夫 ;36;SC;Army Aviation Doctrine;Medium;M525043;x
525044;Chief of Air Force;埃南 萨多罗兹尼 ;36;SC;Air Superiority Doctrine;Medium;M525044;x
