TUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
532001;Head of State;阿马德二世 阿尔突尼斯 ;36;SL;Ruthless Powermonger;High;M532001;x
532002;Head of Government;赫蒂 拉豪 ;36;SL;Happy Amateur;High;M532002;x
532003;Foreign Minister;阿尔曼德 吉昂 ;36;SL;Great Compromiser;High;M532003;x
532004;Minister of Armament;萨拉赫丁 贝考彻 ;36;SL;Tank Proponent;Medium;M532004;x
532005;Minister of Security;穆-哈梅德 车尼克 ;36;SL;Man of the People;Medium;M532005;x
532006;Head of Military Intelligence;穆斯塔法 卡克 ;36;SL;Industrial Specialist;Medium;M532006;x
532007;Chief of Staff;亨利 达斯提耶 德拉维吉里耶 ;36;SL;School of Manoeuvre;Medium;M532007;x
532008;Chief of Army;博胡米尔 瓦扎克 ;36;SL;Guns and Butter Doctrine;Medium;M532008;x
532009;Chief of Navy;儒勒 埃夫努 ;36;SL;Open Seas Doctrine;Medium;M532009;x
532010;Chief of Air Force;艾米勒 吉纳 ;36;SL;Army Aviation Doctrine;Medium;M532010;x
532011;Head of State;沙伊赫 塔哈尔 本 阿马尔 ;36;SD;Autocratic Charmer;High;M532011;x
532012;Head of State;穆罕穆德三世 阿尔曼斯弗 ;42;SL;Die-hard Reformer;High;M532012;x
532013;Head of State;穆罕穆德四世 阿尔阿明 ;43;SL;Powerhungry Demagogue;High;M532013;x
532014;Head of State;穆-哈梅德 车尼克 ;36;SC;Popular Figurehead;High;M532005;x
532015;Head of Government;哈比比 布尔吉巴 ;36;SD;Ambitious Union Boss;High;M532015;x
532016;Head of Government;穆-哈梅德 车尼克 ;43;SL;Corporate Suit;High;M532005;x
532017;Head of Government;萨拉赫丁 贝考彻 ;43;SL;Smiling Oilman;High;M532004;x
532018;Head of Government;穆斯塔法 卡克 ;47;SL;Smiling Oilman;High;M532006;x
532019;Head of Government;哈姆达 沙达尼 ;36;SC;Political Protege;High;M532019;x
532020;Foreign Minister;巴希 拉德哈姆 ;36;SD;Great Compromiser;High;M532020;x
532021;Foreign Minister;埃里克 拉博尼 ;38;SL;Apologetic Clerk;High;M531014;x
532022;Foreign Minister;让 皮埃尔 埃斯特瓦 ;40;SL;General Staffer;High;L24159;x
532023;Foreign Minister;夏尔 埃玛纽埃尔 马斯特 ;43;SL;The Cloak N Dagger Schemer;High;M532023;x
532024;Foreign Minister;让 蒙斯 ;47;SL;Biased Intellectual;High;M532024;x
532025;Foreign Minister;沙伊赫 默罕默德 Jallouli ;36;SC;Biased Intellectual;High;M532025;x
532026;Minister of Armament;泰伊伯 梅希里 ;36;SD;Battle Fleet Proponent;Medium;M532026;x
532027;Minister of Armament;罗格 欧劳 ;42;SL;Theoretical Scientist;Medium;M532027;x
532028;Minister of Armament;默罕默德 马斯穆迪 ;44;SL;Military Entrepreneur;Medium;M532028;x
532029;Minister of Armament;阿里 贝尔豪瓦勒 ;36;SC;Air Superiority Proponent;Medium;M532029;x
532030;Minister of Security;蒙吉 斯利姆 ;36;SD;Crime Fighter;Medium;M532030;x
532031;Minister of Security;费尔哈特 科尔图姆 ;43;SL;Compassionate Gentleman;Medium;M532031;x
532032;Minister of Security;赫蒂 劳伊拉 ;36;SC;Back Stabber;Medium;M532032;x
532033;Head of Military Intelligence;哈比比 布尔吉巴 ;36;SD;Technical Specialist;Medium;M532015;x
532034;Head of Military Intelligence;安德雷 利奇维茨 ;41;SL;Political Specialist;Medium;M532034;x
532035;Head of Military Intelligence;哈姆达 沙达尼 ;36;SC;Dismal Enigma;Medium;M532019;x
532036;Chief of Staff;让 劳伦-尚普罗塞 ;36;SD;School of Fire Support;Medium;M532036;x
532037;Chief of Staff;雅克 马苏 ;43;SL;School of Psychology;Medium;M532037;x
532038;Chief of Staff;雅克 塞维斯特 ;36;SC;School of Mass Combat;Medium;M532038;x
532039;Chief of Army;艾米勒 考拉东 ;43;SL;Decisive Battle Doctrine;Medium;M532039;x
532040;Chief of Army;亨利 达斯提耶 德拉维吉里耶 ;36;SC;Static Defence Doctrine;Medium;M532007;x
532041;Chief of Army;艾米勒 吉纳 ;36;SC;Elastic Defence Doctrine;Medium;M532010;x
532042;Chief of Navy;德约洛利 法雷 ;36;SD;Base Control Doctrine;Medium;M532042;x
532043;Chief of Navy;雅克 塞维斯特 ;43;SL;Indirect Approach Doctrine;Medium;M532038;x
532044;Chief of Navy;萨多克 莫卡登 ;36;SC;Decisive Naval Battle Doctrine;Medium;M532044;x
532045;Chief of Air Force;阿巴达拉 法尔哈特 ;36;SD;Vertical Envelopment Doctrine;Medium;M532045;x
532046;Chief of Air Force;艾米勒 阿勒格莱特 ;43;SL;Carpet Bombing Doctrine;Medium;M532046;x
532047;Chief of Air Force;阿赫梅德 特利利 ;36;SC;Naval Aviation Doctrine;Medium;M532047;x
