TUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
12001;Head of State;穆斯塔法·凯末尔·阿塔土克;36;PA;Father Of The Turks;High;M12001;x
12002;Head of Government;穆斯塔法·伊斯麦特·伊诺努;36;PA;Political Protege;High;M12002;x
12003;Foreign Minister;图菲克 鲁斯图 阿拉斯 ;36;PA;Biased Intellectual;Medium;M12003;x
12004;Minister of Armament;泽凯伊 阿帕伊丁 ;36;SC;Resource Industrialist;Medium;M12004;x
12005;Minister of Security;苏克 卡亚 ;36;SC;Man of the People;Medium;M12005;x
12006;Head of Military Intelligence;苏克 阿里 奥格尔 ;36;PA;Industrial Specialist;Medium;M12006;x
12007;Chief of Staff;费夫齐·恰克马克;36;PA;School of Defence;Medium;M12007;x
12008;Chief of Army;梅米特 努里 亚穆特 ;36;PA;Static Defence Doctrine;Medium;M12008;x
12009;Chief of Navy;梅米特 阿里 因根 ;36;PA;Base Control Doctrine;Medium;M12009;x
12010;Chief of Air Force;阿里 奥尔伦加特 ;36;PA;Army Aviation Doctrine;Medium;M12010;x
12031;Head of State;穆斯塔法·伊斯麦特·伊诺努;38;SC;Pig-headed Isolationist;High;M12031;x
12032;Head of Government;马赫穆特·杰拉勒·拜亚尔;38;SC;Silent Workhorse;High;M12032;x
12033;Head of Government;雷菲克 萨伊达姆 ;39;ML;Smiling Oilman;High;M12024;x
12034;Head of Government;苏克 萨拉若卢 ;42;ML;Flamboyant Tough Guy;High;M12034;x
12035;Foreign Minister;苏克 萨拉若卢 ;38;SC;Biased Intellectual;High;M12034;x
12036;Foreign Minister;塞伊德 麦内门肖格鲁 ;42;ML;Great Compromiser;Medium;M12036;x
12038;Foreign Minister;哈桑 萨卡 ;44;SC;Ideological Crusader;Medium;M12038;x
12039;Foreign Minister;内吉梅丁 萨迪克 萨达克 ;47;SC;General Staffer;Medium;M12039;x
12040;Foreign Minister;雷菲特 贝莱 ;36;PA;General Staffer;Medium;M12040;x
12041;Foreign Minister;穆斯塔法·伊斯麦特·伊诺努;37;SC;Great Compromiser;Medium;M12002;x
12042;Foreign Minister;阿里·费特希·奥克亚尔;37;ML;Biased Intellectual;Medium;M12013;x
12043;Foreign Minister;阿卜杜哈里克 冷达 ;43;ML;Apologetic Clerk;Medium;M12043;x
12045;Minister of Armament;努鲁拉赫 埃萨特 苏末尔 ;43;ML;Corrupt Kleptocrat;Medium;M12045;x
12046;Minister of Armament;阿德南 门德莱斯 ;46;ML;Theoretical Scientist;Medium;M12046;x
12047;Minister of Armament;穆斯塔法·伊斯麦特·伊诺努;36;SC;Administrative Genius;Medium;M12031;x
12048;Minister of Armament;法阿德 卡利斯塔尔 ;36;SC;Infantry Proponent;Medium;M12048;x
12049;Minister of Armament;卡吉姆 奥扎尔普 ;36;SC;Military Entrepreneur;Medium;M12049;x
12050;Minister of Armament;塔夫菲克 鲁斯塔 阿拉斯 ;39;ML;Theoretical Scientist;Medium;M12050;x
12051;Minister of Armament;梅米特 吉纳尔塔伊 ;40;SC;Tank Proponent;Medium;M12051;x
12052;Minister of Armament;米尼尔 布尔森 ;46;ML;Laissez-Faire Capitalist;Medium;M12052;x
12054;Minister of Armament;穆斯塔法 冷达 ;38;ML;Military Entrepreneur;Medium;M12054;x
12056;Minister of Security;胡斯内 卡基尔 ;43;ML;Crooked Kleptocrat;Medium;M12056;x
12057;Minister of Security;希尔米 乌朗 ;44;ML;Crime Fighter;Medium;M12057;x
12059;Minister of Security;梅穆杜赫 塔格马克 ;46;ML;Prince of Terror;Medium;M12059;x
12060;Minister of Security;阿德南 门德莱斯 ;47;ML;Back Stabber;Medium;M12046;x
12061;Minister of Security;阿卜杜 纳西 提纳兹 ;38;ML;Silent Lawyer;Medium;M12061;x
12062;Minister of Security;马赫穆特·杰拉勒·拜亚尔;36;SC;Back Stabber;Medium;M12032;x
12063;Minister of Security;阿巴斯 塞瓦特 ;39;SD;Crooked Kleptocrat;Medium;M12025;x
12064;Minister of Security;萨菲特 阿里坎 ;40;SC;Crime Fighter;Medium;M12058;x
12065;Minister of Security;阿里 里扎 Türel ;40;ML;Efficient Sociopath;Medium;M12065;x
12066;Minister of Security;奥尔汉 戈凯伊 ;41;ML;Silent Lawyer;Medium;M12015;x
12067;Minister of Security;梅米特 雷杰普 佩凯尔 ;41;SC;Compassionate Gentleman;Medium;M12067;x
12068;Head of Military Intelligence;穆斯塔法 冷达 ;38;SC;Dismal Enigma;High;M12054;x
12069;Head of Military Intelligence;阿里 鲁扎 阿尔图恩卡勒 ;43;ML;Logistics Specialist;Medium;M12069;x
12070;Head of Military Intelligence;穆塔兹 奥科孟 ;46;ML;Industrial Specialist;Medium;M12070;x
12071;Head of Military Intelligence;梅米特 雷杰普 佩凯尔 ;47;ML;Industrial Specialist;High;M12067;x
12072;Head of Military Intelligence;法阿德 库尔鲁拉 ;38;ML;Naval Intelligence Specialist;Medium;M12026;x
12073;Chief of Staff;阿卜杜 纳西 提纳兹 ;38;SC;School of Fire Support;Medium;M12061;x
12074;Chief of Staff;阿里 奥尔伦加特 ;43;ML;School of Mass Combat;Medium;M12010;x
12075;Chief of Staff;阿卜杜拉赫曼 古尔曼 ;46;ML;School of Manoeuvre;Medium;M12075;x
12077;Chief of Army;穆斯塔法 埃尔德尔胡恩 ;43;ML;Armoured Spearhead Doctrine;Medium;M12077;x
12078;Chief of Army;塞米尔 陶德穆尔 ;46;ML;Decisive Battle Doctrine;Medium;M12078;x
12079;Chief of Navy;阿里 法阿特 塞贝索伊 ;38;SC;Indirect Approach Doctrine;Medium;M12079;x
12080;Chief of Navy;维赫比 科克 ;43;ML;Decisive Naval Battle Doctrine;Medium;M12080;x
