U03;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
520039;Head of Government;¡ı…Ÿ∆Ê ;30;SL;Naive Optimist;High;MC_CHC_51143;x
520040;Minister of Security;–ªæı‘’;30;LE;Man of the People;High;MC_CHC_51144;x
520041;Minister of Security;¡÷≤Æ«˛ ;30;SD;Compassionate Gentleman;High;MC_CHC_51119;x
520042;Minister of Security;¬ﬁ»«‰ ;30;ST;Crime Fighter;High;LC_CHC_76090;x
520043;Head of Military Intelligence;¡ı≤Æ≥– ;30;SD;Technical Specialist;High;MC_CHC_51147;x
520044;Head of Military Intelligence;µÀ–°∆Ω ;30;SC;Industrial Specialist;High;MC_CHC_51113;x
520045;Head of Military Intelligence;µÀ∑¢ ;30;LWR;Political Specialist;High;MC_CHC_51131;x
520046;Head of Military Intelligence;“∂Ω£”¢ ;30;LE;Logistics Specialist;High;MC_CHC_51107;x
520047;Head of Military Intelligence;≥¬‘∆ ;30;SC;Industrial Specialist;High;MC_CHC_51104;x
520048;Head of Military Intelligence;÷‹∂˜¿¥ ;30;SD;Technical Specialist;High;MC_CHC_51102;x
520049;Chief of Staff;¡÷±Î ;30;LE;School of Manoeuvre;High;MC_CHC_51154;x
520050;Chief of Staff;¡ı≤Æ≥– ;30;SD;School of Psychology;High;MC_CHC_51147;x
520051;Chief of Staff;≈Ìµ¬ª≥ ;30;SC;School of Mass Combat;High;MC_CHC_51137;x
520052;Chief of Staff;√´‘Û∂´ ;30;ST;School of Mass Combat;High;MC_CHC_51101;x
520053;Chief of Staff;À⁄‘£ ;30;LE;School of Fire Support;High;MC_CHC_51158;x
520054;Chief of Staff;÷Ï» ;30;ST;School of Fire Support;High;MC_CHC_51138;x
520055;Chief of Staff;ƒÙ»Ÿ’È  ;30;LWR;School of Defence;High;MC_CHC_51160;x
520056;Chief of Army;¡÷±Î ;30;ST;Guerilla Warfare Doctrine;High;MC_CHC_51154;x
520057;Chief of Army;¡ı≤Æ≥– ;30;SD;Elastic Defence Doctrine;High;MC_CHC_51147;x
520058;Chief of Army;≈Ìµ¬ª≥ ;30;SC;Decisive Battle Doctrine;High;MC_CHC_51137;x
520059;Chief of Army;≥¬‚Ÿ ;30;SD;Elastic Defence Doctrine;High;MC_CHC_51165;x
520060;Chief of Army;À⁄‘£ ;30;LE;Armoured Spearhead Doctrine;High;MC_CHC_51158;x
520061;Chief of Army;÷Ï» ;30;ST;Armoured Spearhead Doctrine;High;MC_CHC_51138;x
520062;Chief of Army;ƒÙ»Ÿ’È  ;30;LWR;Static Defence Doctrine;High;MC_CHC_51160;x
520063;Chief of Army;¿Óµ¬ ;30;ST;Static Defence Doctrine;High;MC_CHC_51169;x
520064;Chief of Army;“∂Ω£”¢ ;30;SC;Guns and Butter Doctrine;High;MC_CHC_51107;x
520065;Chief of Army;–ÏœÚ«∞ ;30;SC;Guns and Butter Doctrine;High;MC_CHC_51171;x
520066;Chief of Navy;’≈∞Æ∆º ;30;ST;Indirect Approach Doctrine;High;MC_CHC_51173;x
520067;Chief of Air Force;ƒÙ∑Ô÷« ;30;LWR;Army Aviation Doctrine;High;MC_CHC_51174;x
520068;Chief of Air Force;¡ı—«¬• ;30;SC;Air Superiority Doctrine;High;LC_CHC_76077;x
