UBO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
79601;Head of State;让 德 波旁 ;36;ML;Stern Imperialist;High;M2032;x
79602;Head of Government;曼努艾尔 阿扎莱 德兹 ;36;ML;Silent Workhorse;High;M11033;x
79603;Foreign Minister;伊冯 代尔博斯 ;36;ML;Biased Intellectual;Medium;M2048;x
79604;Foreign Minister;保罗 雷诺 ;36;ML;Ideological Crusader;Undying;M2038;x
79605;Foreign Minister;华金 乌尔塞斯 卡达瓦尔 ;36;ML;Apologetic Clerk;Low;M11003;x
79606;Foreign Minister;路易斯 康帕尼斯 乔夫 ;36;ML;Iron Fisted Brute;High;M11091;x
79607;Foreign Minister;爱德华 达拉第 ;36;ML;Great Compromiser;High;M2037;x
79608;Foreign Minister;乔治 皮杜尔 ;41;ML;General Staffer;High;M2039;x
79609;Foreign Minister;迭戈 马丁兹 巴里奥 ;36;ML;The Cloak N Dagger Schemer;High;M11069;x
79610;Minister of Armament;保罗 马钱杜 ;36;ML;Administrative Genius;Medium;M2083;x
79611;Minister of Armament;弗朗西斯科 马德兹 阿斯皮 ;36;ML;Resource Industrialist;High;M11135;x
79612;Minister of Armament;贝纳多 吉纳尔 德 洛斯 莱斯 加西亚 ;36;ML;Theoretical Scientist;High;M11144;x
79613;Minister of Armament;爱德华 达拉第 ;36;ML;laissez-faire capitalist;Low;M2037;x
79614;Minister of Armament;迭戈 海德尔格 迪安 ;36;ML;Military Entrepreneur;High;M11101;x
79615;Minister of Armament;约瑟夫 路易斯 阿文诺 ;36;ML;Battle Fleet Proponent;Medium;M2080;x
79616;Minister of Armament;圣地亚哥 卡萨莱斯 奎洛加 ;36;ML;Submarine Proponent;High;M11137;x
79617;Minister of Armament;查尔斯 戴高乐 ;36;ML;Tank Proponent;High;M2027;x
79618;Minister of Armament;图多尔弗 洛皮斯 费尔南德兹 ;36;ML;Infantry Proponent;High;M11133;x
79619;Minister of Armament;马塞尔 豪登 ;36;ML;Air Superiority Proponent;Medium;M2076;x
79620;Minister of Armament;维森特 乌里维 加尔蒂诺 ;36;ML;Corrupt Kleptocrat;Very High;M11114;x
79621;Minister of Armament;安托万 亨利 克耶 ;36;ML;Air to Ground Proponent;High;M2043;x
79622;Minister of Armament;米盖尔 努诺兹 德 佩拉多 ;36;ML;Air to Sea Proponent;Medium;M11143;x
79623;Minister of Armament;莱昂 茹奥 ;36;ML;Strategic Air Proponent;Medium;M2070;x
79624;Minister of Security;曼努艾尔 佩莱塔 巴拉德莱斯 ;36;ML;Silent Lawyer;High;M11002;x
79625;Minister of Security;雷内 尼古拉 ;36;ML;Compassionate Gentleman;High;M2112;x
79626;Minister of Security;塞巴斯蒂安 波扎斯 佩雷亚 ;36;ML;Crime Fighter;High;M11093;x
