UCS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63601;Head of State;杰拉尔德 K. 史密斯 ;36;NS;Stern Imperialist;High;M6040;x
63602;Head of Government;路易斯 G. 奎因塔纳 ;36;NS;Silent Workhorse;High;M36012;x
63603;Foreign Minister;品诺 G. 加雷斯 ;36;NS;Biased Intellectual;Very Low;M36011;x
63604;Foreign Minister;路易斯 波萨诺 ;36;NS;Ideological Crusader;Medium;M40081;x
63605;Foreign Minister;劳伦斯 丹尼斯 ;36;NS;Apologetic Clerk;High;M6071;x
63606;Foreign Minister;古斯塔沃 古勒沃 鲁比奥 ;36;NS;Iron Fisted Brute;Medium;M33057;x
63607;Foreign Minister;塞缪尓 路易斯 阿兰恩 ;36;NS;Great Compromiser;High;M95048;x
63608;Foreign Minister;弗朗西斯科 塞拉诺 ;36;NS;General Staffer;Medium;M36057;x
63609;Foreign Minister;朱利奥 奥特加 弗莱尔 ;36;NS;The Cloak N Dagger Schemer;Medium;M49047;x
63610;Minister of Armament;阿尔伯托 奥法利尔 ;36;NS;Administrative Genius;Medium;M33070;x
63611;Minister of Armament;弗朗西斯 汤森 ;36;NS;Resource Industrialist;Very High;M6095;x
63612;Minister of Armament;曼努埃尔 阿罗约 ;36;NS;Theoretical Scientist;Medium;M46031;x
63613;Minister of Armament;曼努尔 M. 马奎兹 ;36;NS;laissez-faire capitalist;Medium;M36034;x
63614;Minister of Armament;路易斯 G. 奎因塔纳 ;36;NS;Military Entrepreneur;Low;M36012;x
63615;Minister of Armament;亚瑟 坦尼 爱默森 ;36;NS;Battle Fleet Proponent;Medium;M571014;x
63616;Minister of Armament;戴维 朔尔茨 ;36;NS;Submarine Proponent;Medium;M573027;x
63617;Minister of Armament;杰思克咯蒙 色卡斯 ;36;NS;Tank Proponent;Low;M48016;x
63618;Minister of Armament;哈里 希尔 麦克马里斯特 ;36;NS;Infantry Proponent;Medium;M573017;x
63619;Minister of Armament;托比亚茨 扎伊加 门塔纳 ;36;NS;Air to Ground Proponent;High;M47033;x
63620;Minister of Armament;约安 安德鲁 阿尔马赞 ;36;NS;Corrupt Kleptocrat;Medium;M36014;x
63621;Minister of Armament;弗雷德利克 普莱斯顿 科恩 ;36;NS;Air to Sea Proponent;Medium;M573023;x
63622;Minister of Armament;约翰 E. 安德森 ;36;NS;Strategic Air Proponent;Medium;M571016;x
63623;Minister of Armament;斯佩萨德 林德赛 霍兰德 ;36;SC;Air Superiority Proponent;Medium;M573004;x
63624;Minister of Security;阿多弗 路易兹 卡提内斯 ;36;NS;Silent Lawyer;Medium;M36065;x
63625;Minister of Security;沃达尔 罗格斯 ;36;NS;Compassionate Gentleman;Medium;M571018;x
63626;Minister of Security;迈克尔 奥瑞基 哈兰 ;26;NS;Crime Fighter;Medium;M571019;x
63627;Minister of Security;乔治 萨金特 ;36;NS;Prince of Terror;Medium;M571020;x
63628;Minister of Security;弗兰克 穆雷 迪克逊 ;36;NS;Back Stabber;Medium;M573028;x
63629;Minister of Security;米兰德 菲尔莫 小克劳德维尔 ;36;NS;Man of the People;Medium;M573031;x
63630;Minister of Security;科尼利厄斯 皮克特 ;36;NS;Efficient Sociopath;Medium;M571017;x
63631;Minister of Security;弗根希奥 巴迪斯塔 ;36;NS;Crooked Kleptocrat;High;M33034;x
63632;Head of Military Intelligence;费多尔库 拉勒多 布尔 ;36;NS;Technical Specialist;Medium;M33014;x
63633;Head of Military Intelligence;古登 维瓦 布朗宁 ;36;NS;Logistics Specialist;Medium;M573037;x
63634;Head of Military Intelligence;小萨姆 J. 埃尔文 ;36;NS;Political Specialist;Medium;M571021;x
63635;Head of Military Intelligence;奥迪斯 梅西 ;36;NS;Dismal Enigma;Medium;M571006;x
63636;Head of Military Intelligence;罗伯特 埃尔 希曼 ;36;NS;Industrial Specialist;Medium;M571022;x
63637;Head of Military Intelligence;本杰明 塔维斯 朗尼 ;36;NS;Naval Intelligence Specialist;Medium;M573038;x
63638;Chief of Staff;拉里 K. 阿诺德 ;36;NS;School of Manoeuvre;Medium;M571023;x
63639;Chief of Staff;罗斯库 穆雷 ;36;NS;School of Fire Support;Medium;M573041;x
63640;Chief of Staff;威廉 S. 加韦斯 ;36;NS;School of Mass Combat;Medium;M573007;x
63641;Chief of Staff;曼努埃尔 佩纳 巴托 ;36;NS;School of Defence;Very High;M49049;x
63642;Chief of Staff;李 O. 威拉德 ;36;NS;School of Psychology;Medium;M571011;x
63643;Chief of Army;塞萨尔 普拉达 亨利克斯 ;36;NS;Elastic Defence Doctrine;Medium;M36110;x
63644;Chief of Army;R.J. 斯多克曼 ;36;NS;Static Defence Doctrine;Medium;M571025;x
63645;Chief of Army;约翰 普林 ;36;NS;Decisive Battle Doctrine;Medium;M573043;x
63646;Chief of Army;麦隆 G. 阿什克罗夫特 ;36;NS;Armoured Spearhead Doctrine;Medium;M571026;x
63647;Chief of Army;菲尔丁 刘易斯 怀特 ;36;NS;Guns and Butter Doctrine;Medium;M573044;x
63648;Chief of Navy;哈罗德 伊斯色特 ;36;NS;Open Seas Doctrine;Medium;M573046;x
63649;Chief of Navy;马里奥 伊斯皮纳扎 加西图瓦 ;36;NS;Decisive Naval Battle Doctrine;Medium;M37019;x
63650;Chief of Navy;李查德 帕沃斯 ;36;NS;Power Projection Doctrine;Medium;M573048;x
63651;Chief of Navy;菲利普 R. 布什 ;36;NS;Indirect Approach Doctrine;Medium;M571027;x
63652;Chief of Navy;塞蒙 斯拉文斯 韦利斯 ;36;NS;Base Control Doctrine;Medium;M573047;x
63653;Chief of Air Force;约翰 法尔肯巴里 ;36;NS;Air Superiority Doctrine;Medium;M573051;x
63654;Chief of Air Force;恩里克 C. 洛拉斯 ;36;NS;Naval Aviation Doctrine;Medium;M33020;x
63655;Chief of Air Force;理查德 C. 科林斯 ;36;NS;Army Aviation Doctrine;Medium;M571028;x
63656;Chief of Air Force;菲利浦 阿德利 ;36;NS;Carpet Bombing Doctrine;Medium;M573049;x
63657;Chief of Air Force;托马斯 劳力 巴雷 ;36;NS;Vertical Envelopment Doctrine;Medium;M573050;x
