UER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65201;Head of State;H.R.H.基里尔 罗曼诺夫 ;36;NS;Stern Imperialist;High;M4080;x
65202;Head of Government;格雷格里 齐伦科夫 ;36;NS;Silent Workhorse;High;M4081;x
65203;Foreign Minister;费多尔 齐克林 ;36;NS;Biased Intellectual;Low;M4097;x
65204;Foreign Minister;皮奥特 普雷汉诺夫 ;36;NS;Ideological Crusader;Low;M4100;x
65205;Foreign Minister;波利斯 奇诺夫 ;36;NS;Apologetic Clerk;Low;M4099;x
65206;Foreign Minister;波利斯 斯特姆 ;36;NS;Iron Fisted Brute;Low;M4096;x
65207;Foreign Minister;奥莱格 米尔尤克夫 ;36;NS;Great Compromiser;Low;M4101;x
65208;Foreign Minister;费道尔.巴达托尔契科 ;36;NS;General Staffer;Low;M4013;x
65209;Foreign Minister;乔治 巴拉索夫 ;36;NS;The Cloak N Dagger Schemer;Low;M4098;x
65210;Minister of Armament;尼古拉斯 科拉斯诺夫 ;36;NS;Administrative Genius;Medium;M4104;x
65211;Minister of Armament;赛尔基 罗德泽严克 ;36;NS;Resource Industrialist;Medium;M4103;x
65212;Minister of Armament;尤里 罗申菲尔德 ;36;NS;Theoretical Scientist;Medium;M4107;x
65213;Minister of Armament;安东.斯切格诺夫 ;36;NS;laissez-faire capitalist;Medium;M4014;x
65214;Minister of Armament;尼科莱 马科拉克福 ;36;NS;Military Entrepreneur;Medium;M4083;x
65215;Minister of Armament;拉扎尔.卡冈诺维奇 ;36;NS;Battle Fleet Proponent;High;M4004;x
65216;Minister of Armament;鲍瑞斯.L.瓦尼科夫 ;36;NS;Submarine Proponent;Very High;M4038;x
65217;Minister of Armament;阿莱克桑德尔 瓦希莱夫斯基 ;36;NS;Tank Proponent;High;M4076;x
65218;Minister of Armament;波利斯 马尔切夫 ;36;NS;Infantry Proponent;Medium;M4109;x
65219;Minister of Armament;格奥尔基.D.巴齐列维奇 ;36;NS;Air Superiority Proponent;High;M4036;x
65220;Minister of Armament;约瑟夫.斯大林 ;36;NS;Corrupt Kleptocrat;Very High;M4002;x
65221;Minister of Armament;赛尔基 萨芬诺夫 ;36;NS;Air to Ground Proponent;Medium;M4108;x
65222;Minister of Armament;波利斯 克门诺夫 ;36;NS;Air to Sea Proponent;Medium;M4105;x
65223;Minister of Armament;乔治 巴拉索夫 ;36;NS;Strategic Air Proponent;Medium;M4098;x
65224;Minister of Security;赛尔基 罗德泽严克 ;36;NS;Silent Lawyer;Very High;M4103;x
65225;Minister of Security;费里克斯 雅所拨夫 ;36;NS;Compassionate Gentleman;Very High;M4112;x
65226;Minister of Security;格里高利.R.赛耶诺夫 ;36;NS;Crime Fighter;Very High;M4111;x
65227;Minister of Security;弗拉德米尔 斯科克比列夫 ;36;NS;Prince of Terror;Very High;M4115;x
65228;Minister of Security;费里克斯 雅所拨夫 ;36;NS;Back Stabber;Very High;M4112;x
65229;Minister of Security;安德列.P.潘非洛夫 ;36;NS;Man of the People;Medium;M4044;x
65230;Minister of Security;谢尔盖.G.甘丁 ;36;NS;Efficient Sociopath;Medium;M4043;x
65231;Minister of Security;拉夫连基.贝利亚 ;36;NS;Crooked Kleptocrat;Very High;M4041;x
65232;Head of Military Intelligence;尼克莱 叶佐夫 ;36;NS;Technical Specialist;Undying;M4093;x
65233;Head of Military Intelligence;安纳托利 卡雷丁 ;36;NS;Logistics Specialist;Very High;M4120;x
65234;Head of Military Intelligence;菲利普.I.戈利科夫 ;36;NS;Political Specialist;Very High;M4047;x
65235;Head of Military Intelligence;乌色沃尔德 罗曼诺夫斯基 ;36;NS;Dismal Enigma;Very High;M4118;x
65236;Head of Military Intelligence;赛尔基 斯左诺夫 ;36;NS;Industrial Specialist;Very High;M4110;x
65237;Head of Military Intelligence;亚历山大 克尔查克 ;36;NS;Naval Intelligence Specialist;Very High;M4089;x
65238;Chief of Staff;密克黑尔 塔卡切夫斯基 ;36;NS;School of Manoeuvre;High;M4128;x
65239;Chief of Staff;费里克斯 ;36;NS;School of Fire Support;High;M4129;x
65240;Chief of Staff;费多尔 特金 ;36;NS;School of Mass Combat;High;M4125;x
65241;Chief of Staff;亚历山大 克尔查克 ;36;NS;School of Defence;High;M4089;x
65242;Chief of Staff;基里尔.A.梅列茨科夫 ;36;NS;School of Psychology;High;M4052;x
65243;Chief of Army;安德烈 弗拉索夫 ;36;NS;Elastic Defence Doctrine;Very High;M4090;x
65244;Chief of Army;伊格尔 贝洛夫 ;36;NS;Static Defence Doctrine;Very High;M4137;x
65245;Chief of Army;皮特尔瓦格尔 ;36;NS;Decisive Battle Doctrine;Very High;M4124;x
65246;Chief of Army;亚历山大 伊格罗夫 ;36;NS;Armoured Spearhead Doctrine;Very High;M4131;x
65247;Chief of Army;拉夫伦蒂 克尔涅洛夫 ;36;NS;Guns and Butter Doctrine;Very High;M4087;x
65248;Chief of Navy;埃多瓦格 加勒尔 ;36;NS;Open Seas Doctrine;High;L10417;x
65249;Chief of Navy;罗伯特 冯 维尔 ;36;NS;Decisive Naval Battle Doctrine;High;M4143;x
65250;Chief of Navy;亚历山大 克尔查克 ;36;NS;Power Projection Doctrine;High;M4089;x
65251;Chief of Navy;奥莱格 密克尔金 ;36;NS;Indirect Approach Doctrine;High;M4139;x
65252;Chief of Navy;康斯坦丁 杜十诺夫 ;36;NS;Base Control Doctrine;High;L10520;x
65253;Chief of Air Force;伊万 塔比 ;36;NS;Air Superiority Doctrine;High;M4145;x
