UES;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79500;Head of State;索尔.德.格罗特 ;36;ST;Stern Imperialist;High;M8021;x
79501;Head of Government;哈里 波立特 ;36;ST;Silent Workhorse;High;M1022;x
79502;Foreign Minister;拉贾尼.帕尔默.杜德 ;36;ST;Biased Intellectual;Medium;M1023;x
79503;Foreign Minister;伊恩.米卡杜 ;36;ST;Ideological Crusader;Medium;M1059;x
79504;Foreign Minister;D.N.普里特 ;36;ST;Apologetic Clerk;Medium;M1057;x
79505;Foreign Minister;戴夫.斯普林霍尔 ;36;ST;Iron Fisted Brute;Medium;M1058;x
79506;Foreign Minister;索尔.德.格罗特 ;36;ST;Great Compromiser;Low;M8021;x
79507;Foreign Minister;阿尔伯特.奥尔森 ;36;ST;General Staffer;High;M16023;x
79508;Foreign Minister;菲尔.皮拉丁 ;36;ST;The Cloak N Dagger Schemer;Medium;M1056;x
79509;Minister of Armament;亚瑟.豪纳 ;36;ST;Administrative Genius;Medium;M1076;x
79510;Minister of Armament;莱斯利.索里 ;36;ST;Resource Industrialist;Medium;M1075;x
79511;Minister of Armament;斯塔福德.克里普斯 ;36;ST;Theoretical Scientist;Medium;M1024;x
79512;Minister of Armament;彼德.贝格玛 ;36;ST;laissez-faire capitalist;Medium;M8102;x
79513;Minister of Armament;雅克.德.卡迪特 ;36;ST;Military Entrepreneur;High;M8081;x
79514;Minister of Armament;埃德加.拉尔曼 ;36;ST;Battle Fleet Proponent;Very High;M15022;x
79515;Minister of Armament;杰克.盖斯特 ;36;ST;Submarine Proponent;Medium;M1077;x
79516;Minister of Armament;亚伯.莫法特 ;36;ST;Tank Proponent;Medium;M1078;x
79517;Minister of Armament;威廉.罗斯特 ;36;ST;Infantry Proponent;Medium;M1079;x
79518;Minister of Armament;康涅.吉里亚克斯 ;36;ST;Air Superiority Proponent;Medium;M1080;x
79519;Minister of Armament;阿尔弗雷德.延森 ;36;ST;Corrupt Kleptocrat;High;M16024;x
79520;Minister of Armament;尼尔斯.玻尔 ;36;ST;Air to Ground Proponent;Very High;M16071;x
79521;Minister of Armament;简.柏士玛 ;36;ST;Air to Sea Proponent;Low;M8024;x
79522;Minister of Armament;雅克布.恩格斯 ;36;ST;Strategic Air Proponent;High;M8105;x
79523;Minister of Security;约翰.普莱茨-米尔斯 ;36;ST;Silent Lawyer;Medium;M1097;x
79524;Minister of Security;金.菲尔比 ;36;ST;Compassionate Gentleman;Very High;M1025;x
79525;Minister of Security;丹尼尔.格罗泽 ;36;ST;Crime Fighter;Low;M8025;x
79526;Minister of Security;维奥莱特.兰斯伯里 ;36;ST;Prince of Terror;Medium;M1095;x
79527;Minister of Security;莱斯特.哈奇森 ;36;ST;Back Stabber;Medium;M1096;x
79528;Minister of Security;西德尼.斯利弗曼 ;36;ST;Man of the People;Medium;M1098;x
79529;Minister of Security;博格.豪曼 ;36;ST;Efficient Sociopath;High;M16025;x
79530;Minister of Security;埃德加.拉尔曼 ;36;ST;Crooked Kleptocrat;Very High;M15022;x
79531;Head of Military Intelligence;金.菲尔比 ;36;ST;Technical Specialist;Very High;M1105;x
79532;Head of Military Intelligence;阿卜拉翰.蒙斯特 ;36;ST;Logistics Specialist;High;M8026;x
79533;Head of Military Intelligence;安东尼.布兰特 ;36;ST;Political Specialist;Very High;M1026;x
79534;Head of Military Intelligence;安奈林.贝文 ;36;ST;Dismal Enigma;High;M1021;x
79535;Head of Military Intelligence;威廉.加拉赫 ;36;ST;Industrial Specialist;High;M1111;x
79536;Head of Military Intelligence;克里斯托弗.希尔 ;36;ST;Naval Intelligence Specialist;High;M1112;x
79537;Chief of Staff;汤姆.温特林汉姆 ;36;ST;School of Manoeuvre;High;M1027;x
79538;Chief of Staff;斯文德.瓦格纳 ;36;ST;School of Fire Support;Low;M16027;x
79539;Chief of Staff;托马斯.斯图克 ;36;ST;School of Mass Combat;High;M8027;x
79540;Chief of Staff;格瑞特.斯特瑞加 ;36;ST;School of Defence;High;M8152;x
79541;Chief of Staff;雅克布.恩格斯 ;36;ST;School of Psychology;High;M8105;x
79542;Chief of Army;博格.辛 ;36;ST;Elastic Defence Doctrine;High;M16028;x
79543;Chief of Army;比尔.亚历山大 ;36;ST;Static Defence Doctrine;High;M1028;x
79544;Chief of Army;亚历山大.德.李乌 ;36;ST;Decisive Battle Doctrine;Very High;M8162;x
79545;Chief of Army;尼科.范.斯特拉登 ;36;ST;Armoured Spearhead Doctrine;Low;M8028;x
79546;Chief of Army;安申.科依吉曼斯 ;36;ST;Guns and Butter Doctrine;Very High;M8164;x
79547;Chief of Navy;福克.博斯曼 ;36;ST;Open Seas Doctrine;High;M8123;x
79548;Chief of Navy;哈里.波立特 ;36;ST;Decisive Naval Battle Doctrine;High;M1022;x
79549;Chief of Navy;克努德.耶斯佩森 ;36;ST;Power Projection Doctrine;High;M16086;x
79550;Chief of Navy;佛瑞德.科普曼 ;36;ST;Indirect Approach Doctrine;High;M1029;x
79551;Chief of Navy;克里斯汀.贝克曼 ;36;ST;Base Control Doctrine;Low;M8170;x
79552;Chief of Air Force;阿克塞尔.拉尔森 ;36;ST;Air Superiority Doctrine;Very High;M16021;x
79553;Chief of Air Force;乔治.维勒肯 ;36;ST;Naval Aviation Doctrine;Very High;M15121;x
79554;Chief of Air Force;朱利斯.泽格斯 ;36;ST;Army Aviation Doctrine;Low;M8030;x
79555;Chief of Air Force;约翰.斯特拉奇 ;36;ST;Carpet Bombing Doctrine;High;M1030;x
79556;Chief of Air Force;简.迪特尔斯 ;36;ST;Vertical Envelopment Doctrine;High;M8041;x
