UIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65601;Head of State;拉马八世 ;36;NS;Stern Imperialist;High;M62001;x
65602;Head of Government;宽 阿布哈亚文沙 ;36;NS;Silent Workhorse;High;M62036;x
65603;Foreign Minister;范 西纳 ;36;NS;Biased Intellectual;High;M541025;x
65604;Foreign Minister;塔伊克 杜恩 ;36;NS;Ideological Crusader;High;M563019;x
65605;Foreign Minister;柏椰 切特纳宋哈拉 ;36;NS;Apologetic Clerk;Medium;M62026;x
65606;Foreign Minister;丰威汉 凯山 ;36;NS;Iron Fisted Brute;High;M540020;x
65607;Foreign Minister;迪勒克 发加亚纳马 ;36;NS;Great Compromiser;Low;M62014;x
65608;Foreign Minister;加纳 ;36;NS;General Staffer;High;M541026;x
65609;Foreign Minister;他旺 探隆那瓦沙瓦 ;36;NS;The Cloak N Dagger Schemer;Medium;M62029;x
65610;Minister of Armament;H.R.H. 苏凡那拉 ;36;NS;Administrative Genius;Medium;M540009;x
65611;Minister of Armament;费亚 布里纳瓦拉斯 ;36;NS;Resource Industrialist;Medium;M62059;x
65612;Minister of Armament;黎范华 ;36;NS;Theoretical Scientist;Medium;M542027;x
65613;Minister of Armament;迪勒克 发加亚纳马 ;36;NS;laissez-faire capitalist;Low;M62014;x
65614;Minister of Armament;黎笋 ;36;NS;Military Entrepreneur;Medium;M542030;x
65615;Minister of Armament;埃格 古伊 ;36;NS;Battle Fleet Proponent;Medium;M563024;x
65616;Minister of Armament;诺罗敦 苏发冯 ;36;NS;Submarine Proponent;Medium;M541032;x
65617;Minister of Armament;比里 帕依荣 ;36;NS;Tank Proponent;Low;M62005;x
65618;Minister of Armament;H.R.H. 欧莫 ;36;NS;Infantry Proponent;High;M540010;x
65619;Minister of Armament;柏椰 沙亚纳皮卡特 ;36;NS;Air Superiority Proponent;Medium;M62063;x
65620;Minister of Armament;诺契尔 ;36;NS;Corrupt Kleptocrat;Medium;M541033;x
65621;Minister of Armament;费拉 瓦查扬朗萨里特 ;36;NS;Air to Ground Proponent;High;M62010;x
65622;Minister of Armament;宽 辛苏宋哈朗猜 ;36;NS;Air to Sea Proponent;Medium;M62069;x
65623;Minister of Armament;柏椰 查勒玛阿特 ;36;NS;Strategic Air Proponent;Medium;M62061;x
65624;Minister of Security;希恩 里为 ;36;NS;Silent Lawyer;Medium;M563029;x
65625;Minister of Security;西索瓦 尤德邦 ;36;NS;Compassionate Gentleman;Medium;M541005;x
65626;Minister of Security;冯特 巴哈哈约丁 ;36;NS;Crime Fighter;Medium;M62002;x
65627;Minister of Security;丰威汉 凯山 ;36;NS;Prince of Terror;Medium;M540029;x
65628;Minister of Security;哈 山姆佩塔西里 ;36;NS;Back Stabber;Medium;M62003;x
65629;Minister of Security;A.N. 可萨 ;36;NS;Man of the People;Medium;M563027;x
65630;Minister of Security;波布 ;36;NS;Efficient Sociopath;Medium;M541014;x
65631;Minister of Security;銮阿派 达库 ;36;NS;Crooked Kleptocrat;Medium;M540034;x
65632;Head of Military Intelligence;肯科 特由因 ;36;NS;Technical Specialist;Medium;M563034;x
65633;Head of Military Intelligence;銮披汶 颂堪 ;36;NS;Logistics Specialist;Medium;M62007;x
65634;Head of Military Intelligence;潘輝括 ;36;NS;Political Specialist;Medium;M542039;x
65635;Head of Military Intelligence;张 查文桑宋卡兰姆 ;36;NS;Dismal Enigma;Medium;M62081;x
65636;Head of Military Intelligence;赫恩 卡德拉 马祖德尔 ;36;NS;Industrial Specialist;Medium;M563031;x
