UIR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;;Personality;;;x
65701;Head of State;鲍斯 ;36;NS;Stern Imperialist;High;M59011;x
65702;Head of Government;圣雄甘地 ;36;NS;Silent Workhorse;High;M59037;x
65703;Foreign Minister;萨拉 查达 博斯 ;36;NS;Biased Intellectual;Very High;M59045;x
65704;Foreign Minister;尼赫鲁 ;36;NS;Ideological Crusader;High;M59046;x
65705;Foreign Minister;阿姆倍伽尔 ;36;NS;Apologetic Clerk;Low;M59025;x
65706;Foreign Minister;阿萨杜拉 塞拉伊 汗 ;36;NS;Iron Fisted Brute;High;M54031;x
65707;Foreign Minister;阿伊扬加 ;36;NS;Great Compromiser;Low;M59044;x
65708;Foreign Minister;穆罕默德 阿尤布 汗 ;36;NS;General Staffer;High;M59049;x
65709;Foreign Minister;莫罕默德 艾特玛蒂 汗 ;36;NS;The Cloak N Dagger Schemer;Medium;M54016;x
65710;Minister of Armament;拉尔 巴哈杜尔 夏斯特里 ;36;NS;Administrative Genius;High;M59024;x
65711;Minister of Armament;纳瓦布 加伊格罗 ;36;NS;Resource Industrialist;Medium;M59062;x
65712;Minister of Armament;蒂 瑞纳 ;36;NS;Theoretical Scientist;Medium;M75014;x
65713;Minister of Armament;哈吉 法伊兹 穆罕默德 齐克利亚 ;36;NS;laissez-faire capitalist;High;M54003;x
65714;Minister of Armament;艾哈迈达 巴德 ;36;NS;Military Entrepreneur;High;M59056;x
65715;Minister of Armament;巴哈杜尔 加伊拉 ;36;NS;Battle Fleet Proponent;Medium;M59048;x
65716;Minister of Armament;莫罕默德 艾特玛蒂 汗 ;36;NS;Submarine Proponent;Medium;M54016;x
65717;Minister of Armament;伊塔洛 塞尔根特 ;36;NS;Tank Proponent;Low;M54033;x
65718;Minister of Armament;伊斯坎德 米拉扎 ;36;NS;Infantry Proponent;Medium;M59014;x
65719;Minister of Armament;希赫图 拉姆 ;36;NS;Air Superiority Proponent;High;M59026;x
65720;Minister of Armament;阿曼努拉 ;36;NS;Corrupt Kleptocrat;Low;M54011;x
65721;Minister of Armament;克朗 瑞纳 ;36;NS;Air to Ground Proponent;Medium;M75010;x
65722;Minister of Armament;穆罕默德 阿里 ;36;NS;Air to Sea Proponent;Medium;M59067;x
65723;Minister of Armament;沙阿 瓦里 汗 ;36;NS;Strategic Air Proponent;Medium;M54042;x
65724;Minister of Security;哈瑞莱 J. 卡尼阿 ;36;NS;Silent Lawyer;Low;M59070;x
65725;Minister of Security;帕德码 瑞纳 ;36;NS;Compassionate Gentleman;Medium;M75008;x
65726;Minister of Security;拉菲 阿赫门德 基德瓦伊 ;36;NS;Crime Fighter;Medium;M59068;x
65727;Minister of Security;尼扎姆 奥斯曼 ;36;NS;Prince of Terror;Very High;M59015;x
65728;Minister of Security;穆罕默德 穆吉布 ;36;NS;Back Stabber;Very High;M59073;x
65729;Minister of Security;穆罕默德 扎希尔 ;36;NS;Man of the People;Medium;M54009;x
65730;Minister of Security;高士 ;36;NS;Efficient Sociopath;Very High;M59023;x
65731;Minister of Security;阿卜杜 马吉德 扎布里 ;36;NS;Crooked Kleptocrat;High;M54004;x
65732;Head of Military Intelligence;巴拔 ;36;NS;Technical Specialist;Very High;M59079;x
65733;Head of Military Intelligence;拉斯贝拉瑞 巴瑟 ;36;NS;Logistics Specialist;Very High;M59016;x
65734;Head of Military Intelligence;贾戈吉万 拉穆 ;36;NS;Political Specialist;Very High;M59077;x
65735;Head of Military Intelligence;拉菲 阿赫门德 基德瓦伊 ;36;NS;Dismal Enigma;Medium;M59068;x
65736;Head of Military Intelligence;坎德拉 ;36;NS;Industrial Specialist;Medium;M59083;x
