UPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
79701;Head of State;威廉三世 ;36;NS;Stern Imperialist;High;M37;x
79702;Head of Government;米兰 霍扎 ;36;NS;Silent Workhorse;High;M24002;x
79703;Foreign Minister;简 佩卡尔齐维茨 ;36;NS;Biased Intellectual;Medium;M13065;x
79704;Foreign Minister;阿尔弗雷德 罗森堡 ;36;NS;Ideological Crusader;Very High;M57;x
79705;Foreign Minister;约翰 施未林 冯 高斯克 ;36;NS;Apologetic Clerk;High;M49;x
79706;Foreign Minister;若阿辛 冯 里宾特洛甫 ;36;NS;Iron Fisted Brute;High;M55;x
79707;Foreign Minister;康斯坦丁 冯 牛赖特 ;36;NS;Great Compromiser;High;M3;x
79708;Foreign Minister;奥德利奇 奥塔曼 ;36;NS;General Staffer;High;M24058;x
79709;Foreign Minister;约瑟夫 戈培尔 ;36;NS;The Cloak N Dagger Schemer;Very High;M56;x
79710;Minister of Armament;雅尔玛 沙赫特 ;36;NS;Administrative Genius;Medium;M14;x
79711;Minister of Armament;沃尔特 芬克 ;36;NS;Resource Industrialist;Very High;M80;x
79712;Minister of Armament;佐尔格 托马斯 ;36;NS;Theoretical Scientist;Low;M98;x
79713;Minister of Armament;斯坦尼斯劳 格拉宾斯基 ;36;NS;laissez-faire capitalist;Medium;M13083;x
79714;Minister of Armament;沃尔特 达雷 ;36;NS;Military Entrepreneur;Very High;M81;x
79715;Minister of Armament;马克斯 阿曼 ;36;NS;Battle Fleet Proponent;Very High;M83;x
79716;Minister of Armament;汉斯-佐尔格 冯 弗里德堡 ;36;NS;Submarine Proponent;Very High;M93;x
79717;Minister of Armament;保罗 狄利克雷-杨 ;36;NS;Tank Proponent;Medium;M96;x
79718;Minister of Armament;奥托卡 瑟布林 ;36;NS;Infantry Proponent;Medium;M24076;x
79719;Minister of Armament;罗伯特 莱伊 ;36;NS;Air Superiority Proponent;Very High;M222;x
79720;Minister of Armament;赫尔曼 戈林 ;36;NS;Corrupt Kleptocrat;High;M88;x
79721;Minister of Armament;阿尔伯特 施佩尔 ;36;NS;Air To Ground Proponent;Very High;M10;x
79722;Minister of Armament;鲁道夫 赫斯 ;36;NS;Air to Sea Proponent;Medium;M43;x
79723;Minister of Armament;奥塔卡 伊斯彻 ;36;NS;Strategic Air Proponent;High;M40;x
79724;Minister of Security;维克托 吕策 ;36;NS;Silent Lawyer;High;M24087;x
