URO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65101;Head of State;约瑟夫 布罗兹 铁托 ;36;ST;Stern Imperialist;High;M20021;x
65102;Head of Government;路易吉 隆哥 ;36;ST;Silent Workhorse;High;M3022;x
65103;Foreign Minister;贝尔纳多 阿托利科 ;36;ST;Biased Intellectual;High;M3058;x
65104;Foreign Minister;帕米罗 陶里亚蒂 ;36;ST;Ideological Crusader;High;M3021;x
65105;Foreign Minister;弗兰克斯 迪克 ;36;ST;Apologetic Clerk;Medium;M21076;x
65106;Foreign Minister;威利 弗兰克 ;36;ST;Iron Fisted Brute;Medium;M23035;x
65107;Foreign Minister;斯坦诺杰 西米奇 ;36;ST;Great Compromiser;Medium;M20023;x
65108;Foreign Minister;马特塔 扎尔卡 ;36;ST;General Staffer;Medium;M21037;x
65109;Foreign Minister;佩特罗 恩尼 ;36;ST;The Cloak N Dagger Schemer;High;M3062;x
65110;Minister of Armament;乔瓦尼 西拉罗 ;36;ST;Administrative Genius;High;M3084;x
65111;Minister of Armament;安东尼 佩申提 ;36;ST;Resource Industrialist;High;M3024;x
65112;Minister of Armament;艾瑞诺格诺 ;39;ST;Theoretical Scientist;Medium;M21093;x
65113;Minister of Armament;G. 巴累恩 保卢兹 卡尔博里 ;36;ST;laissez-faire capitalist;High;M3086;x
65114;Minister of Armament;佐尔托 瓦斯 ;36;ST;Military Entrepreneur;Medium;M21034;x
65115;Minister of Armament;保尔 冯 赫格德 ;36;ST;Battle Fleet Proponent;High;M23009;x
65116;Minister of Armament;罗伯特 温特斯坦因 ;36;ST;Submarine Proponent;Medium;M23025;x
65117;Minister of Armament;德拉沙 米哈伊洛维希 ;36;ST;Tank Proponent;Medium;M20055;x
65118;Minister of Armament;维托利奥 维达利 ;36;ST;Infantry Proponent;High;M3087;x
65119;Minister of Armament;阿尔贝托 帕里亚尼 ;36;ST;Air Superiority Proponent;High;M3008;x
65120;Minister of Armament;艾德加 科斯兹 ;36;ST;Corrupt Kleptocrat;Medium;M21073;x
65121;Minister of Armament;佛尔贝托 维瓦尔第 ;36;ST;Air to Ground Proponent;High;M3079;x
65122;Minister of Armament;毛罗 西科西米罗 ;36;ST;Air to Sea Proponent;High;M3088;x
65123;Minister of Armament;路易吉 埃纳乌迪 ;36;ST;Strategic Air Proponent;High;M3085;x
65124;Minister of Security;孔德 斯特凡诺 加西尼 ;36;ST;Silent Lawyer;High;M3046;x
65125;Minister of Security;朱塞佩 罗米塔 ;36;ST;Compassionate Gentleman;High;M3105;x
65126;Minister of Security;帕米罗 陶里亚蒂 ;36;ST;Crime Fighter;High;M3021;x
65127;Minister of Security;米哈拉伊 法拉卡斯 ;36;ST;Prince of Terror;Medium;M21110;x
65128;Minister of Security;奥托 保尔 ;36;ST;Back Stabber;Very Low;M23031;x
65129;Minister of Security;本尼托 墨索里尼 ;36;ST;Man of the People;Very High;M3002;x
65130;Minister of Security;朱利安 朱加格提亚 门第塔 ;36;ST;Efficient Sociopath;High;M3107;x
65131;Minister of Security;艾德加 科克斯兹 ;36;ST;Crooked Kleptocrat;Medium;M21073;x
65132;Head of Military Intelligence;帕米罗 陶里亚蒂 ;36;ST;Technical Specialist;High;M3021;x
65133;Head of Military Intelligence;艾瑞诺 吉诺 ;36;ST;Logistics Specialist;Medium;M21093;x
