UTL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
63101;Head of State;朱安 多明戈 佩隆 ;36;ST;Stern Imperialist;High;M35021;x
63102;Head of Government;盖图利奥 瓦加斯 ;36;ST;Silent Workhorse;High;M34001;x
63103;Foreign Minister;奥斯瓦尔多 阿兰哈 ;36;ST;Biased Intellectual;Medium;M34076;x
63104;Foreign Minister;亨利 贝尔格 ;36;ST;Ideological Crusader;Very Low;M34053;x
63105;Foreign Minister;菲尔南多 布朗 莫莱斯 ;36;ST;Apologetic Clerk;Medium;M44067;x
63106;Foreign Minister;朱安 伊萨克 库克 ;36;ST;Iron Fisted Brute;Medium;M35082;x
63107;Foreign Minister;佩德罗 莱昂 维罗索 ;36;ST;Great Compromiser;Medium;M34077;x
63108;Foreign Minister;恩里克 巴尔迪维埃索 阿帕里西奥 ;36;ST;General Staffer;Medium;M43067;x
63109;Foreign Minister;奥斯卡 维因舒恩克 ;36;ST;The Cloak N Dagger Schemer;High;M34079;x
63110;Minister of Armament;盖图利奥 瓦加斯 ;36;ST;Administrative Genius;High;M34001;x
63111;Minister of Armament;恩里克 巴尔迪维埃索 阿帕里西奥 ;36;ST;Resource Industrialist;Medium;M43067;x
63112;Minister of Armament;奥伯托 瓦勒 ;36;ST;Theoretical Scientist;Medium;M35110;x
63113;Minister of Armament;若泽 德马塞多 索亚雷斯 ;36;ST;laissez-faire capitalist;Medium;M34003;x
63114;Minister of Armament;卡菲 菲略 ;36;ST;Military Entrepreneur;Low;M34004;x
63115;Minister of Armament;欧瑟比奥 阿亚拉 ;36;ST;Battle Fleet Proponent;Medium;M43040;x
63116;Minister of Armament;古斯塔沃 巴罗索 ;36;ST;Submarine Proponent;Medium;M34044;x
63117;Minister of Armament;贾努亚里奥 科尔霍 内托 ;36;ST;Tank Proponent;High;M34093;x
63118;Minister of Armament;罗贝托 希诺约萨 ;36;ST;Infantry Proponent;High;M43024;x
63119;Minister of Armament;亨利 贝尔格 ;41;ST;Air Superiority Proponent;Very Low;M34053;x
63120;Minister of Armament;奥古斯丁 华雷斯 弗尔霍 ;36;ST;Corrupt Kleptocrat;Medium;M34096;x
63121;Minister of Armament;埃杜阿多 戈麦斯 ;36;ST;Air to Ground Proponent;Medium;M34021;x
63122;Minister of Armament;霍腾希奥 奎加诺 ;36;ST;Strategic Air Proponent;Very Low;M35015;x
63123;Minister of Armament;弗朗西斯科 勒茨 马丁 ;36;ST;Air to Sea Proponent;Medium;M35109;x
63124;Minister of Security;奥斯卡 维因舒恩克 ;36;ST;Silent Lawyer;High;M34079;x
63125;Minister of Security;佩德罗 莱昂 维罗索 ;36;ST;Compassionate Gentleman;Medium;M34077;x
63126;Minister of Security;马尔孔德斯 菲略 ;36;ST;Crime Fighter;High;M34005;x
63127;Minister of Security;克里斯塔伯 塞斯 瑟达 ;36;ST;Prince of Terror;Medium;M44052;x
63128;Minister of Security;路易斯 瓜查拉 索拉雷斯 ;36;ST;Back Stabber;High;M43066;x
63129;Minister of Security;曼努埃尔 A. 维南西奥 ;36;ST;Man of the People;Low;M34035;x
63130;Minister of Security;恩里克 巴尔迪维埃索 阿帕里西奥 ;36;ST;Efficient Sociopath;Medium;M43067;x
63131;Minister of Security;马里奥 皮门特尔 布兰道 ;36;ST;Crooked Kleptocrat;High;M34080;x
63132;Head of Military Intelligence;阿尔贝托 迭兹 德梅迪纳 ;36;ST;Technical Specialist;Medium;M43086;x
63133;Head of Military Intelligence;劳林霍 沃尔塔 雷东多 ;36;ST;Logistics Specialist;High;M34134;x
63134;Head of Military Intelligence;阿胡斯托 德索萨 e 席尔瓦 ;36;ST;Political Specialist;High;M34056;x
63135;Head of Military Intelligence;乔杰 迪 帕斯库拉 ;36;ST;Dismal Enigma;High;M35154;x
63136;Head of Military Intelligence;古斯塔夫 门多萨 库特 ;36;ST;Industrial Specialist;Medium;M35038;x
63137;Head of Military Intelligence;阿德马尔 德卡瓦略 戈麦斯 ;36;ST;Naval Intelligence Specialist;High;M34119;x
63138;Chief of Staff;马加哈耶斯 巴拉塔 德阿泽维多 ;36;ST;School of Manoeuvre;Medium;M34037;x
63139;Chief of Staff;曼纽尓 T. 阿帕提 ;36;ST;School of Fire Support;Medium;M42008;x
63140;Chief of Staff;路易斯 卡洛斯 普雷斯特斯 ;36;ST;School of Mass Combat;Undying;M34051;x
63141;Chief of Staff;帕布罗 赛 马丁 ;36;ST;School of Defence;Medium;M35027;x
63142;Chief of Staff;保尔 加斯塔克斯 莱因福德 ;36;ST;School of Psychology;Medium;M35172;x
63143;Chief of Army;西洛 梅雷勒斯 ;36;ST;Elastic Defence Doctrine;Very Low;M34058;x
63144;Chief of Army;加斯帕 杜特拉 ;36;ST;Static Defence Doctrine;Medium;M34011;x
63145;Chief of Army;恩里克 特谢拉 洛特 ;36;ST;Decisive Battle Doctrine;Medium;M34027;x
63146;Chief of Army;托马斯 蒙耶 古铁雷斯 ;36;ST;Armoured Spearhead Doctrine;Very High;M43039;x
63147;Chief of Army;马里奥 达 席尔瓦 卡马格 ;36;ST;Guns and Butter Doctrine;High;M34165;x
63148;Chief of Navy;阿尔贝托 迭兹 德梅迪纳 ;36;ST;Open Seas Doctrine;Medium;M43086;x
63149;Chief of Navy;弗洛里亚诺 佩科托 ;36;ST;Decisive Naval Battle Doctrine;High;M34182;x
63150;Chief of Navy;胡安 斯特发尼奇 ;36;ST;Power Projection Doctrine;Medium;M42049;x
63151;Chief of Navy;阿尔瓦罗 德索萨 ;36;ST;Indirect Approach Doctrine;Very Low;M34059;x
63152;Chief of Navy;耶稣 G. 阿雷扎 ;36;ST;Base Control Doctrine;Medium;M42119;x
63153;Chief of Air Force;埃帕米农达斯 多斯 桑托斯 ;36;ST;Air Superiority Doctrine;Medium;M34040;x
63154;Chief of Air Force;阿戈利贝托 维埃拉 ;36;ST;Naval Aviation Doctrine;Very High;M34060;x
63155;Chief of Air Force;古斯塔夫 希尔瓦 ;36;ST;Army Aviation Doctrine;Medium;M44027;x
63156;Chief of Air Force;约瑟 陆伊斯 舒尔茨 贝萨 ;36;ST;Carpet Bombing Doctrine;High;M44076;x
63157;Chief of Air Force;莱昂内尔 贝内维德斯 德 雷森德 ;36;ST;Vertical Envelopment Doctrine;Very High;M34187;x
