VEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
38001;Head of State;埃莱亚萨尔 康特雷拉斯 ;36;PA;Barking Buffoon;High;M38001;x
38002;Head of Government;埃莱亚萨尔 康特雷拉斯 ;36;PA;Happy Amateur;High;M38001;x
38003;Foreign Minister;埃斯特班 盖 博格斯 ;36;PA;Great Compromiser;Medium;M38003;x
38004;Minister of Armament;佩德罗 贝佩瑟 尤里克 ;36;SC;Military Entrepreneur;Low;M38004;x
38005;Minister of Security;圣地亚哥 科伊 阿亚拉 ;36;PA;Silent Lawyer;Medium;M38005;x
38006;Head of Military Intelligence;弗洛里亚瓦尔多 德瓦斯奎斯 林哈雷斯 ;36;PA;Political Specialist;Medium;M38006;x
38007;Chief of Staff;伊萨伊亚斯 梅迪纳 安加里塔 ;36;SC;School of Defence;Low;M38007;x
38008;Chief of Army;伊萨伊亚斯 梅迪纳 安加里塔 ;36;SC;Static Defence Doctrine;Low;M38007;x
38009;Chief of Navy;温贝托 桑塔布里亚 维拉 ;36;PA;Base Control Doctrine;Medium;M38009;x
38010;Chief of Air Force;大卫 洛佩斯 恩里克斯 ;36;PA;Army Aviation Doctrine;Medium;M38010;x
38031;Head of State;伊萨伊亚斯 梅迪纳 安加里塔 ;41;SC;Resigned Generalissimo;High;M38007;x
38032;Head of State;罗慕洛 贝坦科特 ;45;SD;Autocratic Charmer;High;L270001;x
38033;Head of Government;伊萨伊亚斯 梅迪纳 安加里塔 ;41;SC;Old General;High;M38007;x
38034;Head of Government;罗慕洛 贝坦科特 ;45;SD;Flamboyant Tough Guy;High;L270001;x
38035;Foreign Minister;卡拉西奥拉 帕拉 佩雷斯 ;41;SC;Apologetic Clerk;Medium;M38035;x
38036;Foreign Minister;古斯塔沃 赫雷拉 格劳 ;45;ML;Iron Fisted Brute;Medium;M38036;x
38037;Foreign Minister;卡洛斯 莫拉雷斯 阿克齐亚 ;45;SD;Iron Fisted Brute;Medium;M38037;x
38038;Foreign Minister;贡萨洛 巴里奥斯 ;47;ML;General Staffer;Medium;M38038;x
38039;Minister of Armament;唐 佩德罗 格拉瑟斯 ;38;PA;laissez-faire capitalist;Medium;M38039;x
38040;Minister of Armament;卡洛斯 拉莫斯 德茨 ;41;SC;Submarine Proponent;Low;M38040;x
38041;Minister of Armament;米盖尔 德茨 弗莱勒 ;42;SC;Strategic Air Proponent;Low;M38041;x
38042;Minister of Armament;卡洛斯 莫利纳 塔拉瓦约 ;42;ML;Battle Fleet Proponent;Low;M38042;x
38043;Minister of Armament;埃洛伊 拉雷斯 马丁内斯 ;43;ML;laissez-faire capitalist;Medium;M38043;x
38044;Minister of Armament;胡里奥 加西亚 哈帕 ;45;ML;Military Entrepreneur;Medium;M38044;x
38045;Minister of Armament;何塞 维森特 朗戈 ;46;SD;Resource Industrialist;Medium;M38045;x
38046;Minister of Security;何塞 奥古埃雷 维雷 ;36;SC;Efficient Sociopath;Medium;M38046;x
38047;Minister of Security;安东尼奥 何塞 维勒加斯 ;38;SC;Silent Lawyer;Medium;M38047;x
38048;Minister of Security;塞萨尔 祖梅塔 ;39;PA;Compassionate Gentleman;Medium;M38048;x
38049;Minister of Security;亚历杭德罗 阿马斯 ;41;SC;Prince of Terror;Medium;M38049;x
38050;Minister of Security;安东尼奥 J. 迪亚斯 马丁内斯 ;43;ML;Crime Fighter;Medium;M38050;x
38051;Minister of Security;罗慕洛 加列戈斯 弗雷勒 ;45;SD;Man of The People;Medium;M38051;x
38052;Minister of Security;何塞 桑古诺 卡德纳斯 ;46;LWR;Compassionate Gentleman;Medium;M38052;x
38053;Minister of Security;康塞普西翁 奎加达 冈萨雷斯 ;46;SD;Silent Lawyer;Medium;M38053;x
38054;Minister of Security;阿道夫 冈萨雷斯 阿基拉尔 ;47;LWR;Efficient Sociopath;Medium;M38054;x
38055;Minister of Security;伊斯多罗 鲁伊兹 图埃罗 ;47;ML;Prince of Terror;Medium;M38011;x
38056;Head of Military Intelligence;迪奥格涅斯 埃斯卡兰特 ;36;PA;Industrial Specialist;Medium;M38056;x
38057;Head of Military Intelligence;安东尼奥 卡萨斯 冈萨雷斯 ;39;SC;Naval Intelligence Specialist;Medium;M38057;x
38058;Head of Military Intelligence;佩德罗 阿尔坎塔拉 拉亚 ;41;SC;Industrial Specialist;Medium;M38058;x
38059;Head of Military Intelligence;佩德罗 P. 阿兹普鲁亚 ;42;ML;Technical Specialist;Medium;M38059;x
38060;Head of Military Intelligence;路易斯 蒙萨尔沃 马雷诺 ;45;SD;Logistics Specialist;Medium;M38060;x
38061;Head of Military Intelligence;罗伯特 雷茨 桑切斯 ;46;ML;Technical Specialist;Medium;M38061;x
38062;Head of Military Intelligence;霍维托 维拉尔巴 ;47;LWR;Political Specialist;Medium;M38021;x
38063;Chief of Staff;安东尼奥 卡萨斯 冈萨雷斯 ;38;SC;School of Psychology;Medium;M38057;x
38064;Chief of Staff;卡洛斯 加西亚 门多萨 ;41;SC;School of Mass Combat;Medium;M38064;x
38065;Chief of Staff;古斯塔沃 冈萨雷斯 洛佩斯 ;43;ML;School of Manoeuvre;Medium;M38065;x
38066;Chief of Staff;劳尔 莱尼 奥特罗 ;45;SD;School of Psychology;Medium;M38027;x
38067;Chief of Army;维克托 桑切斯 克罗埃斯 ;40;PA;Armoured Spearhead Doctrine;Medium;M38028;x
38068;Chief of Army;托马斯 康特雷拉斯 维拉罗伯斯 ;41;SC;Decisive Battle Doctrine;Low;M38019;x
38069;Chief of Army;卡洛斯 德尔加多 查尔鲍德 ;45;ML;Guns and Butter Doctrine;Medium;L270004;x
38070;Chief of Army;尼尔森 维尔德 格拉特罗尔 ;47;SD;Armoured Spearhead Doctrine;Medium;M38070;x
38071;Chief of Navy;佩德罗 贝佩瑟 尤里克 ;39;SC;Power Projection Doctrine;Medium;M38004;x
38072;Chief of Navy;卡洛斯 莫利纳 塔拉瓦约 ;41;SC;Decisive Naval Battle Doctrine;Medium;M38042;x
38073;Chief of Navy;路易斯 阿尔瓦雷斯 圣地亚哥 ;42;ML;Open Seas Doctrine;Medium;M38073;x
38074;Chief of Navy;卡洛斯 拉莫斯 德茨 ;45;ML;Indirect Approach Doctrine;Medium;M38040;x
38075;Chief of Navy;安东尼奥 卡萨斯 冈萨雷斯 ;47;SD;Base Control Doctrine;Medium;M38057;x
38076;Chief of Air Force;罗贝托 德卢卡 瓦雷萨诺 ;39;PA;Air Superiority Doctrine;Medium;M38020;x
38077;Chief of Air Force;吉列尔莫 格里菲斯 埃斯卡多 ;41;SC;Army Aviation Doctrine;Medium;M38077;x
38078;Chief of Air Force;米盖尔 德茨 弗莱勒 ;45;ML;Carpet Bombing Doctrine;Medium;M38041;x
38079;Chief of Air Force;托马斯 康特雷拉斯 维拉罗伯斯 ;46;LWR;Naval Aviation Doctrine;Medium;M38019;x
38080;Chief of Air Force;何塞 波拉雷斯 帕文 ;47;SD;Air Superiority Doctrine;Medium;M38080;x
38081;Foreign Minister;佩德罗 伊特里亚哥 查辛 ;36;PA;Biased Intellectual;Medium;M38081;x
38011;Head of State;伊斯多罗 鲁伊兹 图埃罗 ;36;PA;Resigned Generalissimo;High;M38011;x
38012;Head of Government;伊斯多罗 鲁伊兹 图埃罗 ;36;PA;Old General;High;M38011;x
38013;Foreign Minister;埃涅斯托 梅伊斯 维拉内拉 ;36;PA;The Cloak N Dagger Schemer;Medium;M38013;x
38014;Minister of Armament;里卡多 门德斯 莫雷诺 ;36;PA;Infantry Proponent;Medium;M38014;x
38015;Minister of Security;赫苏斯 阿尔坎塔拉 伯雷哥 ;36;PA;Back Stabber;Medium;M38015;x
38016;Head of Military Intelligence;卡洛斯 卡萨诺瓦 里 ;36;PA;Naval Intelligence Specialist;Medium;M38016;x
38017;Chief of Staff;贝纳多 何塞 蒙迪拉 ;36;PA;School of Fire Support;Medium;M38017;x
38018;Chief of Army;佩德罗 埃雷斯 古铁雷斯 ;36;PA;Elastic Defence Doctrine;Medium;M38018;x
