FRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1400;圣-纳萨利-本霍伊特有限公司 ;T1400;5;1930;1999;naval_engineering;electronics;naval_artillery;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1401;艾米特 ;T1401;4;1930;1999;aeronautics;electronics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1402;布雷斯特兵工厂 ;T1402;6;1930;1999;naval_engineering;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1403;德瓦蒂纳飞机工厂 ;T1403;5;1999;1999;aeronautics;artillery;naval_engineering;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1404;法国海军冶金公司 ;T1404;4;1930;1999;mechanics;training;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1405;F·约里奥&I·约里奥-居里 ;T1405;6;1930;1999;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1406;让·雅克·巴罗 ;T1406;4;1930;1999;rocketry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1407;库尔曼 ;T1407;4;1930;1999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1408;圣-埃蒂安兵工厂 ;T1408;5;1930;1999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1409;莫拉纳-索尼埃 ;T1425;4;1930;1999;aeronautics;artillery;electronics;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1410;雷诺 ;T1410;7;1930;1999;mechanics;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1411;罗纳普朗克 ;T1411;4;1930;1999;chemistry;industrial_engineering;general_equipment;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1412;圣-戈班 ;T1412;4;1930;1999;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1413;施耐德 ;T1413;4;1930;1999;artillery;mechanics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1414;阿奎坦国家石油公司 ;T1414;4;1941;1999;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1415;索玛 ;T1415;5;1930;1999;mechanics;industrial_engineering;electronics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
