GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1;染料工業利益集團(法本公司);T3;9;1930;1999;chemistry;industrial_engineering;general_equipment;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2;戴姆勒奔驰 ;T12;9;1930;1999;mechanics;general_equipment;technical_efficiency;artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3;斯柯达 ;T1105;7;1999;1999;mechanics;industrial_engineering;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4;克虜伯集團;T7;9;1930;1999;mechanics;electronics;technical_efficiency;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5;毛瑟公司;T9;8;1930;1999;infantry_focus;large_unit_tactics;small_unit_tactics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6;萊茵金屬公司;T13;7;1930;1999;artillery;mechanics;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7;哈诺马克 ;T29;7;1930;1999;infantry_focus;decentralized_execution;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8;亨歇尔 ;T30;7;1930;1999;aeronautics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9;奧格斯堡-紐倫堡機械製造廠;T8;8;1930;1999;mechanics;general_equipment;artillery;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10;西门子电气;T14;8;1930;1999;electronics;industrial_engineering;technical_efficiency;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11;欧宝汽车公司;T11;7;1930;1999;mechanics;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14;梅塞施密特 AG ;T10;9;1930;1999;aeronautics;rocketry;fighter_tactics;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
