SOV;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3700;巴里卡迪枪械设计局 ;T3700;5;1930;1999;artillery;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3701;图拉火炮设计局 ;T3701;6;1930;1999;artillery;mechanics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3732;瓦西里·格拉宾 ;T3732;8;1940;1999;mechanics;electronics;technical_efficiency;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3702;基洛夫车辆设计局 ;T3702;7;1930;1999;artillery;mechanics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3703;乌拉尔车辆设计局 ;T3703;8;1999;1999;artillery;mechanics;general_equipment;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3704;图波列夫设计局 ;T3704;9;1930;1999;technical_efficiency;electronics;aeronautics;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3705;伊留申设计局 ;T3705;8;1930;1999;bomber_tactics;electronics;aeronautics;aircraft_testing;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3706;雅科夫列夫设计局 ;T3706;7;1929;1999;technical_efficiency;electronics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3707;拉沃契金设计局 ;T3707;7;1999;1999;fighter_tactics;electronics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3708;佩特利亚科夫设计局 ;T3708;7;1999;1999;bomber_tactics;electronics;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3709;米格设计局 ;T3709;7;1999;1999;fighter_tactics;rocketry;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3710;波罗的海船舶设计局 ;T3710;3;1930;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3711;中央船舶设计局 ;T3711;4;1930;1999;naval_engineering;naval_artillery;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3731;尼古拉耶夫造船厂 ;T3731;5;1941;1999;naval_engineering;aircraft_testing;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3712;磁山城钢铁厂 ;T3712;5;1930;1999;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3713;磁山城钢铁联合企业 ;T3713;7;1999;1999;mechanics;general_equipment;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3733;下塔吉尔工业区 ;T3733;6;1999;1999;mechanics;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3714;国立莫斯科大学 ;T3714;7;1930;1999;chemistry;mechanics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3715;喷气技术研究所 ;T3715;4;1930;1999;rocketry;aeronautics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3716;谢尔盖·科罗廖夫 ;T3716;6;1999;1999;rocketry;aeronautics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3717;伊戈尔·库尔恰托夫 ;T3717;9;1999;1999;nuclear_physics;nuclear_engineering;mathematics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3718;安德烈·萨哈罗夫 ;T3718;6;1999;1999;nuclear_physics;nuclear_engineering;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3719;克莱门特·伏罗西洛夫 ;T3719;3;1930;1999;infantry_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3720;米哈伊尔·图哈切夫斯基 ;T3720;7;1930;1999;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3721;亚历山大·华西列夫斯基 ;T3721;8;1940;1999;centralized_execution;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3722;尼古拉·库兹涅佐夫 ;T3722;7;1999;1999;naval_artillery;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3723;伊万·伊萨科夫 ;T3723;6;1940;1999;naval_training;small_taskforce_tactics;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3724;谢尔盖·戈尔什科夫 ;T3724;6;1943;1999;naval_engineering;naval_training;carrier_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3725;格奥尔吉·朱可夫 ;T3725;9;1938;1999;combined_arms_focus;large_unit_tactics;large_unit_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3726;亚历山大·诺维科夫 ;T3726;7;1940;1999;training;decentralized_execution;fighter_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3727;亚历山大·波克雷什金 ;T3727;6;1941;1999;small_taskforce_tactics;centralized_execution;bomber_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3728;中央第二军舰设计局;T3728;6;1932;1999;electronics;chemistry;naval_engineering;nuclear_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3729;中央第18设计局;T3728;6;1937;1999;electronics;chemistry;naval_engineering;nuclear_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3730;谢尔盖·布尔卡托夫斯基 ;T9123;9;1999;1999;mechanics;electronics;technical_efficiency;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
