USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
113;雷神公司 ;T113;9;1930;1999;electronics;aeronautics;mechanics;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
117;标准石油公司 ;T117;9;1930;1999;industrial_engineering;chemistry;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
118;德克萨斯石油公司 ;T118;7;1930;1999;;chemistry;technical_efficiency;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
132;通用电子 ;T128;8;1930;1999;electronics;technical_efficiency;management;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
116;斯普林菲尔德兵工厂 ;T116;7;1930;1999;artillery;training;combined_arms_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
119;温彻斯特速射武器公司 ;T119;7;1930;1999;training;infantry_focus;mechanics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
101;克里斯蒂 ;T101;5;1930;1999;mechanics;general_equipment;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
104;福特汽车公司 ;T104;9;1930;1999;mechanics;industrial_engineering;technical_efficiency;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
108;马蒙-赫灵顿 ;T108;7;1930;1999;mechanics;training;chemistry;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100;波音 ;T100;9;1939;1999;aeronautics;aircraft_testing;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102;柯蒂斯怀特飞机公司 ;T102;7;1930;1999;aeronautics;aircraft_testing;technical_efficiency;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
103;道格拉斯飞机公司 ;T103;6;1930;1999;aeronautics;aircraft_testing;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
107;凯利·约翰逊的臭鼬工厂 ;T107;9;1941;1999;technical_efficiency;aeronautics;electronics;aircraft_testing;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
