# 0 - ±ùº½Ä¸
model = {
	cost						= 0.5
	buildtime 					= 150
	defaultorganisation 		= 10
	morale						= 30
	manpower					= 0.1
	maxspeed					= 35
	surfacedetectioncapability	= 0.2
	airdetectioncapability		= 0
	subdetectioncapability		= 0
	visibility					= 5
	seadefence					= 10
	airdefence					= 1
	seaattack					= 1
	airattack					= 0
	subattack					= 0
	convoyattack					= 20
	shorebombardment			= 0
	transportcapability			= 0
	range						= 180
	supplyconsumption			= 0.25
	fuelconsumption				= 0.25
	distance					= 0.01
	equipment = { escorts = 5 manpower = 15 }
}
