allowed_brigades = b_24
max_allowed_brigades = 1

# 0 - 一战战斗机 
model = {
	cost 					= 6
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 40
	manpower				= 2
	maxspeed				= 250
	surfacedetectioncapability	= 1
	airdetectioncapability		= 1
	surfacedefence				= 4
	airdefence				= 1
	airattack				= 6
	strategicattack				= 0
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 200
	supplyconsumption 			= 0.6
	fuelconsumption				= 2.5
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 2000 fighter = 80 }
}
# 1 - 早期战斗机 
model = {
	cost 					= 7
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 40
	manpower				= 2
	maxspeed				= 300
	surfacedetectioncapability	= 2
	airdetectioncapability		= 2
	surfacedefence				= 6
	airdefence				= 3
	airattack				= 9
	strategicattack				= 0
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 300
	supplyconsumption 			= 0.9
	fuelconsumption				= 3
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 2000 fighter = 80 }
}
# 2 - 基本截击机 
model = {
	cost 					= 8
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 40
	manpower				= 3
	maxspeed				= 400
	surfacedetectioncapability	= 3
	airdetectioncapability		= 3
	surfacedefence				= 8
	airdefence				= 5
	airattack				= 12
	strategicattack				= 0
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 350
	supplyconsumption 			= 1.2
	fuelconsumption				= 4
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 2000 fighter = 80 }
}
# 3 - 改良截击机 
model = {
	cost 					= 9
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 40
	manpower				= 3
	maxspeed				= 450
	surfacedetectioncapability	= 4
	airdetectioncapability		= 4
	surfacedefence				= 10
	airdefence				= 7
	airattack				= 15
	strategicattack				= 0
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 400
	supplyconsumption 			= 1.5
	fuelconsumption				= 4.5
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 2000 fighter = 80 }
}
# 4 - 先进截击机 
model = {
	cost 					= 10
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 40
	manpower				= 3
	maxspeed				= 500
	surfacedetectioncapability	= 5
	airdetectioncapability		= 5
	surfacedefence				= 12
	airdefence				= 9
	airattack				= 18
	strategicattack				= 0
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 450
	supplyconsumption 			= 1.8
	fuelconsumption				= 5
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 2000 fighter = 80 }
}
# 5 - 基本火箭式截击机 
model = {
	cost 					= 12
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 40
	manpower				= 3
	maxspeed				= 750
	surfacedetectioncapability	= 7
	airdetectioncapability		= 7
	surfacedefence				= 16
	airdefence				= 13
	airattack				= 24
	strategicattack				= 0
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 550
	supplyconsumption 			= 2.4
	fuelconsumption				= 7.5
	upgrade_time_factor = 1
	upgrade_cost_factor = 1
	equipment = { manpower = 2000 fighter = 80 }
}
# 6 - 改良火箭式截击机 
model = {
	cost 					= 13
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 40
	manpower				= 3
	maxspeed				= 800
	surfacedetectioncapability	= 8
	airdetectioncapability		= 8
	surfacedefence				= 18
	airdefence				= 15
	airattack				= 27
	strategicattack				= 0
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 600
	supplyconsumption 			= 2.7
	fuelconsumption				= 8
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 2000 fighter = 80 }
}
# 7 - 基本喷气式截击机 
model = {
	cost 					= 15
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 40
	manpower				= 3
	maxspeed				= 900
	surfacedetectioncapability	= 10
	airdetectioncapability		= 10
	surfacedefence				= 22
	airdefence				= 19
	airattack				= 33
	strategicattack				= 0
	softattack				= 0
	hardattack				= 0
	navalattack				= 0
	range					= 700
	supplyconsumption 			= 3.3
	fuelconsumption				= 9
	upgrade_time_factor = 1
	upgrade_cost_factor = 1
	equipment = { manpower = 2000 fighter = 80 }
}
