allowed_brigades = b_24
max_allowed_brigades = 1

# 0 - 基本战斗机 
model = {
	cost 					= 12
	buildtime	 			= 220
	defaultorganisation 		= 40
	morale					= 30
	manpower				= 3
	maxspeed				= 300
	surfacedetectioncapability	= 5
	airdetectioncapability		= 5
	surfacedefence				= 10
	airdefence				= 5
	airattack				= 9
	strategicattack				= 0
	softattack				= 4
	hardattack				= 2
	navalattack				= 1
	range					= 700
	supplyconsumption 			= 2
	fuelconsumption				= 3
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 3000 fighter = 80 }
}
# 1 - 改良战斗机 
model = {
	cost 					= 13.5
	buildtime	 			= 220
	defaultorganisation 		= 30
	morale					= 30
	manpower				= 3
	maxspeed				= 350
	surfacedetectioncapability	= 6
	airdetectioncapability		= 6
	surfacedefence				= 13
	airdefence				= 7
	airattack				= 12
	strategicattack				= 0
	softattack				= 5
	hardattack				= 2
	navalattack				= 2
	range					= 800
	supplyconsumption 			= 2.6
	fuelconsumption				= 3.7
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 3000 fighter = 80 }
}
# 2 - 先进战斗机 
model = {
	cost 					= 15
	buildtime	 			= 220
	defaultorganisation 		= 40
	morale					= 30
	manpower				= 3
	maxspeed				= 400
	surfacedetectioncapability	= 7
	airdetectioncapability		= 7
	surfacedefence				= 15
	airdefence				= 9
	airattack				= 15
	strategicattack				= 0
	softattack				= 6
	hardattack				= 3
	navalattack				= 3
	range					= 900
	supplyconsumption 			= 3.3
	fuelconsumption				= 4
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 3000 fighter = 80 }
}
# 3 - 基本喷气式战斗机 
model = {
	cost 					= 18
	buildtime	 			= 220
	defaultorganisation 		= 40
	morale					= 30
	manpower				= 3
	maxspeed				= 600
	surfacedetectioncapability	= 9
	airdetectioncapability		= 9
	surfacedefence				= 19
	airdefence				= 13
	airattack				= 21
	strategicattack				= 0
	softattack				= 8
	hardattack				= 4
	navalattack				= 4
	range					= 1100
	supplyconsumption 			= 4.5
	fuelconsumption				= 6
	upgrade_time_factor = 1
	upgrade_cost_factor = 1
	equipment = { manpower = 3000 fighter = 80 }
}
# 4 - 改良喷气式战斗机 
model = {
	cost 					= 19.5
	buildtime	 			= 220
	defaultorganisation 		= 40
	morale					= 30
	manpower				= 3
	maxspeed				= 650
	surfacedetectioncapability	= 10
	airdetectioncapability		= 10
	surfacedefence				= 21
	airdefence				= 15
	airattack				= 24
	strategicattack				= 0
	softattack				= 10
	hardattack				= 5
	navalattack				= 5
	range					= 1200
	supplyconsumption 			= 5.4
	fuelconsumption				= 6.5
	upgrade_time_factor = 0.5
	upgrade_cost_factor = 0.5
	equipment = { manpower = 3000 fighter = 80 }
}
# 5 - 超音速战斗机 
model = {
	cost 					= 22.5
	buildtime	 			= 240
	defaultorganisation 		= 40
	morale					= 30
	manpower				= 3
	maxspeed				= 750
	surfacedetectioncapability	= 12
	airdetectioncapability		= 12
	surfacedefence				= 25
	airdefence				= 19
	airattack				= 30
	strategicattack				= 0
	softattack				= 12
	hardattack				= 6
	navalattack				= 6
	range					= 1400
	supplyconsumption 			= 6.6
	fuelconsumption				= 7.5
	upgrade_time_factor = 1
	upgrade_cost_factor = 1
	equipment = { manpower = 3000 fighter = 80 }
}
